#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan AYG-15146790Week-24_S40_L002_R1_001.fastq.gz,AYG-15146790Week-24_S40_L002_R2_001.fastq.gz --bowtie2out AYG-15146790Week-24_S40_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o AYG-15146790Week-24_S40_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	83.52292	
k__Bacteria|p__Bacteroidetes	2|976	12.7587	
k__Bacteria|p__Actinobacteria	2|201174	3.6389	
k__Bacteria|p__Proteobacteria	2|1224	0.07948	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	76.19238	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	12.7587	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	3.49562	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.09271	
k__Bacteria|p__Firmicutes|c__CFGB1340	2|1239|	2.7624	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.6081	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.54619	
k__Bacteria|p__Firmicutes|c__CFGB42691	2|1239|	0.15652	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.12876	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.11214	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.07948	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.0487	
k__Bacteria|p__Firmicutes|c__CFGB2916	2|1239|	0.01828	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	73.11277	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	12.7587	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	3.49562	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	3.07961	
k__Bacteria|p__Firmicutes|c__CFGB1340|o__OFGB1340	2|1239||	2.7624	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.57495	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.51776	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.6081	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.54619	
k__Bacteria|p__Firmicutes|c__CFGB42691|o__OFGB42691	2|1239||	0.15652	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.12876	
k__Bacteria|p__Firmicutes|c__CFGB1217|o__OFGB1217	2|1239||	0.11214	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.07948	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.0487	
k__Bacteria|p__Firmicutes|c__CFGB2916|o__OFGB2916	2|1239||	0.01828	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	45.82053	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	20.47647	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	4.96658	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	4.92744	
