#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan CJH-15205126Week-4_S148_L002_R1_001.fastq.gz,CJH-15205126Week-4_S148_L002_R2_001.fastq.gz --bowtie2out CJH-15205126Week-4_S148_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o CJH-15205126Week-4_S148_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	88.66506	
k__Bacteria|p__Actinobacteria	2|201174	7.76636	
k__Bacteria|p__Bacteroidetes	2|976	3.53439	
k__Bacteria|p__Proteobacteria	2|1224	0.03419	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	81.16767	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.49565	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.53439	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.24786	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.96976	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	1.27071	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.69358	
k__Bacteria|p__Firmicutes|c__CFGB42691	2|1239|	0.26799	
k__Bacteria|p__Firmicutes|c__CFGB12277	2|1239|	0.13979	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.06841	
k__Bacteria|p__Firmicutes|c__CFGB1218	2|1239|	0.0513	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.04161	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.0289	
k__Bacteria|p__Firmicutes|c__CFGB16911	2|1239|	0.0171	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00271	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00258	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	72.40712	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	8.76055	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	5.03919	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.53439	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	3.24786	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.96976	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	1.26772	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.15962	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.69358	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriia_unclassified	2|201174|84998|4206594	0.29683	
k__Bacteria|p__Firmicutes|c__CFGB42691|o__OFGB42691	2|1239||	0.26799	
k__Bacteria|p__Firmicutes|c__CFGB12277|o__OFGB12277	2|1239||	0.13979	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.06841	
k__Bacteria|p__Firmicutes|c__CFGB1218|o__OFGB1218	2|1239||	0.0513	
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.04161	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.0289	
k__Bacteria|p__Firmicutes|c__CFGB16911|o__OFGB16911	2|1239||	0.0171	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.003	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.00271	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.00258	
