#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan CLC-15293076Week-0_S41_L002_R1_001.fastq.gz,CLC-15293076Week-0_S41_L002_R2_001.fastq.gz --bowtie2out CLC-15293076Week-0_S41_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o CLC-15293076Week-0_S41_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	66.21589	
k__Bacteria|p__Bacteroidetes	2|976	29.61025	
k__Bacteria|p__Actinobacteria	2|201174	3.02469	
k__Bacteria|p__Verrucomicrobia	2|74201	0.86964	
k__Bacteria|p__Proteobacteria	2|1224	0.27953	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	61.80798	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	29.61025	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.21441	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.04428	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	1.61448	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.41021	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.86964	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.14829	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.05219	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.0482	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.04459	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.03845	
k__Bacteria|p__Firmicutes|c__CFGB3035	2|1239|	0.02943	
k__Bacteria|p__Firmicutes|c__CFGB3053	2|1239|	0.02253	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.01735	
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.01575	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.00705	
k__Bacteria|p__Firmicutes|c__CFGB3608	2|1239|	0.00407	
k__Bacteria|p__Firmicutes|c__CFGB40382	2|1239|	0.00084	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	55.38613	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	29.61025	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	6.42185	
