#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan DSH-15173925Week-0_S207_L002_R1_001.fastq.gz,DSH-15173925Week-0_S207_L002_R2_001.fastq.gz --bowtie2out DSH-15173925Week-0_S207_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o DSH-15173925Week-0_S207_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	65.77441	
k__Bacteria|p__Actinobacteria	2|201174	29.71681	
k__Bacteria|p__Bacteroidetes	2|976	3.40578	
k__Bacteria|p__Verrucomicrobia	2|74201	1.07527	
k__Bacteria|p__Proteobacteria	2|1224	0.02773	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	63.72161	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	20.85946	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	8.83006	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.40578	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.11903	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.07527	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.58785	
k__Bacteria|p__Firmicutes|c__CFGB40382	2|1239|	0.14237	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.12039	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.03285	
k__Bacteria|p__Actinobacteria|c__CFGB9370	2|201174|	0.02729	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.02311	
k__Bacteria|p__Firmicutes|c__CFGB1434	2|1239|	0.02259	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.01499	
k__Bacteria|p__Firmicutes|c__CFGB14246	2|1239|	0.00884	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.00462	
k__Bacteria|p__Firmicutes|c__CFGB42691	2|1239|	0.00388	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	56.27246	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	20.8262	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	7.44915	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	6.97256	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.40578	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.8575	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.11903	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	1.07527	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.58785	
k__Bacteria|p__Firmicutes|c__CFGB40382|o__OFGB40382	2|1239||	0.14237	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.09651	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.03326	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.03285	
k__Bacteria|p__Actinobacteria|c__CFGB9370|o__OFGB9370	2|201174||	0.02729	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.02388	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.02311	
k__Bacteria|p__Firmicutes|c__CFGB1434|o__OFGB1434	2|1239||	0.02259	
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.01499	
k__Bacteria|p__Firmicutes|c__CFGB14246|o__OFGB14246	2|1239||	0.00884	
