#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan LIJ-15213064Week-24_S250_L002_R1_001.fastq.gz,LIJ-15213064Week-24_S250_L002_R2_001.fastq.gz --bowtie2out LIJ-15213064Week-24_S250_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o LIJ-15213064Week-24_S250_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	96.25794	
k__Archaea	2157	3.74206	
k__Bacteria|p__Firmicutes	2|1239	75.51302	
k__Bacteria|p__Actinobacteria	2|201174	8.92955	
k__Bacteria|p__Bacteroidetes	2|976	7.53662	
k__Archaea|p__Euryarchaeota	2157|28890	3.74206	
k__Bacteria|p__Verrucomicrobia	2|74201	3.60114	
k__Bacteria|p__Proteobacteria	2|1224	0.61971	
k__Bacteria|p__Synergistetes	2|508458	0.05791	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	71.47704	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	7.53662	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	5.49605	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	3.74206	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	3.60114	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.41394	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.92515	
k__Bacteria|p__Firmicutes|c__CFGB1340	2|1239|	0.53899	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.37246	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.35388	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.26505	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.09717	
k__Bacteria|p__Firmicutes|c__CFGB9612	2|1239|	0.07624	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.05791	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.0234	
k__Bacteria|p__Actinobacteria|c__CFGB9370	2|201174|	0.01956	
k__Bacteria|p__Firmicutes|c__CFGB3035	2|1239|	0.00258	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00079	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	47.22879	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	24.24825	
