#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan MB-15247635Week-4_S111_L002_R1_001.fastq.gz,MB-15247635Week-4_S111_L002_R2_001.fastq.gz --bowtie2out MB-15247635Week-4_S111_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o MB-15247635Week-4_S111_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	77.47567	
k__Bacteria|p__Actinobacteria	2|201174	13.36679	
k__Bacteria|p__Bacteroidetes	2|976	5.98687	
k__Bacteria|p__Verrucomicrobia	2|74201	2.379	
k__Bacteria|p__Proteobacteria	2|1224	0.72573	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.06595	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	66.27209	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	10.29509	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	5.98687	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.07169	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.04575	
k__Bacteria|p__Firmicutes|c__CFGB1340	2|1239|	2.94021	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.379	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.06723	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.37977	
k__Bacteria|p__Firmicutes|c__CFGB1677	2|1239|	0.85489	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.66144	
k__Bacteria|p__Firmicutes|c__CFGB3035	2|1239|	0.53287	
k__Bacteria|p__Firmicutes|c__CFGB1434	2|1239|	0.15889	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.10827	
k__Bacteria|p__Firmicutes|c__CFGB1302	2|1239|	0.07244	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.06595	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.06428	
k__Bacteria|p__Firmicutes|c__CFGB3608	2|1239|	0.02511	
k__Bacteria|p__Firmicutes|c__CFGB2916	2|1239|	0.01016	
k__Bacteria|p__Firmicutes|c__CFGB1328	2|1239|	0.00799	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	50.95566	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	15.31643	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	10.29509	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	5.98687	
