#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan SDC-15225232Week-0_S199_L002_R1_001.fastq.gz,SDC-15225232Week-0_S199_L002_R2_001.fastq.gz --bowtie2out SDC-15225232Week-0_S199_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o SDC-15225232Week-0_S199_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	97.60375	
k__Archaea	2157	2.39625	
k__Bacteria|p__Firmicutes	2|1239	70.93734	
k__Bacteria|p__Bacteroidetes	2|976	18.73324	
k__Bacteria|p__Actinobacteria	2|201174	5.93954	
k__Archaea|p__Euryarchaeota	2157|28890	2.39625	
k__Bacteria|p__Verrucomicrobia	2|74201	1.91134	
k__Bacteria|p__Proteobacteria	2|1224	0.08229	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	70.12114	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	18.73324	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.44329	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	2.49625	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	2.39625	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.91134	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.31903	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.31612	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.15475	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.08229	
k__Bacteria|p__Firmicutes|c__CFGB1217	2|1239|	0.01551	
k__Bacteria|p__Firmicutes|c__CFGB42691	2|1239|	0.01079	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	64.49762	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	18.73324	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	5.62353	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	2.49625	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	2.39625	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.19768	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	1.91134	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.2456	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.31903	
