#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan CGE-15076563Week-0_S10_L002_R1_001.fastq.gz,CGE-15076563Week-0_S10_L002_R2_001.fastq.gz --bowtie2out CGE-15076563Week-0_S10_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o CGE-15076563Week-0_S10_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	99.45899	
k__Archaea	2157	0.54101	
k__Bacteria|p__Firmicutes	2|1239	76.29205	
k__Bacteria|p__Bacteroidetes	2|976	15.09419	
k__Bacteria|p__Proteobacteria	2|1224	6.29127	
k__Bacteria|p__Actinobacteria	2|201174	1.29325	
k__Archaea|p__Euryarchaeota	2157|28890	0.54101	
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.40929	
k__Bacteria|p__Verrucomicrobia	2|74201	0.06642	
k__Bacteria|p__Synergistetes	2|508458	0.01251	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	69.29211	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	15.09419	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	6.16649	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.89403	
k__Bacteria|p__Firmicutes|c__CFGB1340	2|1239|	1.6586	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.40426	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.35642	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.29325	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.54101	
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.40929	
k__Bacteria|p__Firmicutes|c__CFGB1425	2|1239|	0.19491	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.18592	
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.11986	
k__Bacteria|p__Firmicutes|c__CFGB3035	2|1239|	0.09382	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.08825	
k__Bacteria|p__Firmicutes|c__CFGB42691	2|1239|	0.08221	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.06642	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.03652	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.01251	
k__Bacteria|p__Firmicutes|c__CFGB1218	2|1239|	0.00992	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	62.30809	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	15.09419	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	6.98403	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	6.16649	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	1.89403	
k__Bacteria|p__Firmicutes|c__CFGB1340|o__OFGB1340	2|1239||	1.6586	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.40426	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacilli_unclassified	2|1239|91061|	0.85766	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.74325	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.54101	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.49876	
