#mpa_vJan21_CHOCOPhlAnSGB_202103
#/u/home/j/julianne/.conda/envs/humann/bin/metaphlan EAV-15246906Week-0_S165_L002_R1_001.fastq.gz,EAV-15246906Week-0_S165_L002_R2_001.fastq.gz --bowtie2out EAV-15246906Week-0_S165_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o EAV-15246906Week-0_S165_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/julianne/metaphlan_database --index mpa_vJan21_CHOCOPhlAnSGB_202103
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	81.73041	
k__Bacteria|p__Actinobacteria	2|201174	11.96014	
k__Bacteria|p__Verrucomicrobia	2|74201	4.98829	
k__Bacteria|p__Proteobacteria	2|1224	0.73214	
k__Bacteria|p__Bacteroidetes	2|976	0.58902	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	72.22557	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	11.94444	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	6.38922	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	4.98829	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.36546	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.74948	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.64274	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.58902	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.0894	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.0157	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.00067	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	71.89928	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	10.36698	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	6.38922	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	4.98829	
