#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan AAY-15228681Week-0_S196_L002_R1_001.fastq.gz,AAY-15228681Week-0_S196_L002_R2_001.fastq.gz --bowtie2out AAY-15228681Week-0_S196_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o AAY-15228681Week-0_S196_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:6194877
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.81373	2.08275	6188100
k__Archaea	2157	0.18627	0.00389	6777
k__Bacteria|p__Firmicutes	2|1239	74.76089	1.55999	4319306
k__Bacteria|p__Bacteroidetes	2|976	15.78445	0.32936	1437260
k__Bacteria|p__Actinobacteria	2|201174	8.20647	0.17124	365982
k__Bacteria|p__Proteobacteria	2|1224	0.73415	0.01532	46559
k__Bacteria|p__Verrucomicrobia	2|74201	0.32376	0.00676	18839
k__Archaea|p__Euryarchaeota	2157|28890	0.18627	0.00389	6777
k__Bacteria|p__Bacteria_unclassified	2|	0.00401	8e-05	154
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	64.52709	1.34645	3745603
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	15.78445	0.32936	1437260
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	8.04275	0.16782	356241
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.32597	0.04853	118441
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	1.78058	0.03715	78682
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	1.7546	0.03661	118166
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.93474	0.0195	45655
k__Bacteria|p__Firmicutes|c__CFGB1422	2|1239|	0.72577	0.01514	53755
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.65108	0.01359	42049
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.61478	0.01283	28214
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.44636	0.00931	27121
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.36161	0.00755	21802
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.32376	0.00676	18839
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.18627	0.00389	6777
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.16372	0.00342	9741
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.156	0.00326	8767
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.12143	0.00253	5223
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.08307	0.00173	4510
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.07604	0.00159	0
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.06371	0.00133	4862
