#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan AB-15100294Week-4_S235_L001_R1_001.fastq.gz,AB-15100294Week-4_S235_L001_R2_001.fastq.gz --bowtie2out AB-15100294Week-4_S235_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o AB-15100294Week-4_S235_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:10281529
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	3.52319	10281529
k__Bacteria|p__Firmicutes	2|1239	95.57861	3.36742	9899934
k__Bacteria|p__Actinobacteria	2|201174	4.1072	0.1447	345229
k__Bacteria|p__Proteobacteria	2|1224	0.30432	0.01072	34695
k__Bacteria|p__Bacteroidetes	2|976	0.00987	0.00035	1671
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	83.94706	2.95762	8948529
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	10.94339	0.38556	897888
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.02936	0.14196	338788
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.30432	0.01072	34695
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.25996	0.00916	18197
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.17831	0.00628	10018
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.087	0.00307	9429
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.0868	0.00306	7973
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.07784	0.00274	6441
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.0527	0.00186	5732
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.01259	0.00044	1028
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.00987	0.00035	1671
k__Bacteria|p__Firmicutes|c__CFGB1425	2|1239|	0.00644	0.00023	695
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.00437	0.00015	445
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	81.3934	2.86765	8718594
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	10.94339	0.38556	897888
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	3.1197	0.10991	243481
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.17895	0.07677	198662
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.90966	0.03205	95307
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.3747	0.0132	31273
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.30432	0.01072	34695
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.25996	0.00916	18197
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473	2|1239||	0.17831	0.00628	10018
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.087	0.00307	9429
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.0868	0.00306	7973
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.07193	0.00253	5829
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	0.0527	0.00186	5732
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.01259	0.00044	1028
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.00987	0.00035	1671
k__Bacteria|p__Firmicutes|c__CFGB1425|o__OFGB1425	2|1239||	0.00644	0.00023	695
