#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan ACR-15299511Week-0_S126_L002_R1_001.fastq.gz,ACR-15299511Week-0_S126_L002_R2_001.fastq.gz --bowtie2out ACR-15299511Week-0_S126_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o ACR-15299511Week-0_S126_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:5061988
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.92118	5061988
k__Bacteria|p__Firmicutes	2|1239	64.38873	1.23702	3451880
k__Bacteria|p__Actinobacteria	2|201174	30.87777	0.59322	1270642
k__Bacteria|p__Verrucomicrobia	2|74201	2.74352	0.05271	146981
k__Bacteria|p__Bacteroidetes	2|976	1.55811	0.02993	149784
k__Bacteria|p__Proteobacteria	2|1224	0.38807	0.00746	39987
k__Bacteria|p__Fusobacteria	2|32066	0.0438	0.00084	2714
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	59.00577	1.1336	3202196
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	24.4499	0.46973	1008564
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.42787	0.12349	262078
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	4.28812	0.08238	191144
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.74352	0.05271	146981
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	1.55811	0.02993	149784
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.66347	0.01275	39457
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.38688	0.00743	39897
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.19735	0.00379	9253
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.17668	0.00339	6919
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.04966	0.00095	2576
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.0438	0.00084	2714
k__Bacteria|p__Firmicutes|c__CFGB9581	2|1239|	0.00768	0.00015	335
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00119	2e-05	90
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	59.00077	1.13351	3201947
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	24.4499	0.46973	1008564
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	6.38659	0.1227	259486
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	2.74352	0.05271	146981
