#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan ADB-15048357Week-4_S68_L001_R1_001.fastq.gz,ADB-15048357Week-4_S68_L001_R2_001.fastq.gz --bowtie2out ADB-15048357Week-4_S68_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o ADB-15048357Week-4_S68_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:26601997
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	10.19071	26601997
k__Bacteria|p__Firmicutes	2|1239	91.08149	9.28185	23766506
k__Bacteria|p__Bacteroidetes	2|976	5.51797	0.56232	2058969
k__Bacteria|p__Actinobacteria	2|201174	3.19023	0.32511	704649
k__Bacteria|p__Proteobacteria	2|1224	0.12059	0.01229	44293
k__Bacteria|p__Verrucomicrobia	2|74201	0.08883	0.00905	27416
k__Bacteria|p__Bacteria_unclassified	2|	0.00089	9e-05	164
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	51.41712	5.23977	15838432
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	24.98303	2.54595	4696436
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	11.504	1.17234	2517521
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	5.42087	0.55243	2031741
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.85805	0.18935	408519
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.29959	0.13244	289085
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.2426	0.12663	279064
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.18155	0.12041	250837
k__Bacteria|p__Firmicutes|c__CFGB76352	2|1239|	0.50449	0.05141	115730
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.10218	0.01041	29941
k__Bacteria|p__Bacteroidetes|c__CFGB629	2|976|	0.0971	0.00989	27228
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.08883	0.00905	27416
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.06013	0.00613	27466
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.04756	0.00485	11003
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.04423	0.00451	10310
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.03839	0.00391	11303
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.03756	0.00383	8238
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.01949	0.00199	7263
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.01623	0.00165	6517
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.0019	0.00019	341
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.00089	9e-05	229
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.00089	9e-05	164
k__Bacteria|p__Firmicutes|c__CFGB9581	2|1239|	0.00073	7e-05	168
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	50.83015	5.17995	15686731
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	24.95046	2.54263	4687902
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	11.504	1.17234	2517521
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	5.42087	0.55243	2031741
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.81368	0.18483	395635
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	1.18155	0.12041	250837
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	1.1415	0.11633	248079
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.72707	0.07409	163339
k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352	2|1239||	0.50449	0.05141	115730
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.48426	0.04935	108956
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.4469	0.04554	117862
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.14333	0.01461	37954
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.14007	0.01427	33839
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.10218	0.01041	29941
k__Bacteria|p__Bacteroidetes|c__CFGB629|o__OFGB629	2|976||	0.0971	0.00989	27228
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.08883	0.00905	27416
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.05019	0.00511	25462
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.04756	0.00485	11003
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.04437	0.00452	12884
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.04423	0.00451	10310
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.03839	0.00391	11303
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	2|1239||	0.03756	0.00383	8238
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.03257	0.00332	8534
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.03126	0.00319	6769
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.01949	0.00199	7263
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.01623	0.00165	6517
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.00994	0.00101	2004
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.0019	0.00019	341
k__Bacteria|p__Firmicutes|c__CFGB28775|o__OFGB28775	2|1239||	0.00089	9e-05	229
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.00089	9e-05	164
k__Bacteria|p__Firmicutes|c__CFGB9581|o__OFGB9581	2|1239||	0.00073	7e-05	168
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	40.67095	4.14466	13116177
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	23.27812	2.37221	4276246
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	11.504	1.17234	2517521
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	6.05483	0.61703	1424522
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	2.52394	0.25721	819705
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	1.83334	0.18683	543245
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.78568	0.18197	391332
