#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan AMJ-10015906Week-24_S84_L001_R1_001.fastq.gz,AMJ-10015906Week-24_S84_L001_R2_001.fastq.gz --bowtie2out AMJ-10015906Week-24_S84_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o AMJ-10015906Week-24_S84_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:5467765
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.72671	5467765
k__Bacteria|p__Firmicutes	2|1239	85.65603	1.47904	4762726
k__Bacteria|p__Actinobacteria	2|201174	12.13745	0.20958	517097
k__Bacteria|p__Proteobacteria	2|1224	2.03006	0.03505	174554
k__Bacteria|p__Bacteroidetes	2|976	0.14979	0.00259	12211
k__Bacteria|p__Fusobacteria	2|32066	0.02666	0.00046	1177
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	71.39601	1.23281	4112253
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	10.59418	0.18293	429976
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	7.12389	0.12301	251538
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.32899	0.09202	304403
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	2.03006	0.03505	174554
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.54406	0.02666	86188
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.54327	0.02665	87121
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.25663	0.00443	8011
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.14979	0.00259	12211
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.02666	0.00046	1177
k__Bacteria|p__Firmicutes|c__CFGB75783	2|1239|	0.00644	0.00011	333
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	71.39601	1.23281	4112253
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	10.56889	0.18249	428849
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	7.12389	0.12301	251538
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	5.32899	0.09202	304403
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	2.03006	0.03505	174554
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.54406	0.02666	86188
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.54327	0.02665	87121
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.25663	0.00443	8011
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.14979	0.00259	12211
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	0.02666	0.00046	1177
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.02529	0.00044	1127
k__Bacteria|p__Firmicutes|c__CFGB75783|o__OFGB75783	2|1239||	0.00644	0.00011	333
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	51.72245	0.8931	2965765
