#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan ANA-15186156Week-24_S213_L002_R1_001.fastq.gz,ANA-15186156Week-24_S213_L002_R2_001.fastq.gz --bowtie2out ANA-15186156Week-24_S213_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o ANA-15186156Week-24_S213_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:22383163
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	7.30264	22383163
k__Bacteria|p__Firmicutes	2|1239	67.82455	4.95298	13363904
k__Bacteria|p__Bacteroidetes	2|976	26.12715	1.90797	7908008
k__Bacteria|p__Actinobacteria	2|201174	5.2791	0.38551	862987
k__Bacteria|p__Proteobacteria	2|1224	0.66342	0.04845	227427
k__Bacteria|p__Verrucomicrobia	2|74201	0.07897	0.00577	17465
k__Bacteria|p__Bacteria_unclassified	2|	0.02681	0.00196	3372
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	59.18986	4.32242	11824873
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	25.8718	1.88933	7858854
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.08288	0.29816	677687
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.62935	0.26504	589316
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.66154	0.19436	495296
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.60064	0.11689	266109
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.53012	0.03871	87481
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.51016	0.03726	199922
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.39655	0.02896	83847
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.28816	0.02104	46281
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	0.25534	0.01865	49154
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.21744	0.01588	45883
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.18284	0.01335	43094
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.07897	0.00577	17465
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.07744	0.00566	20682
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.0718	0.00524	16679
k__Bacteria|p__Firmicutes|c__CFGB76388	2|1239|	0.05324	0.00389	7258
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.03192	0.00233	6051
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.02681	0.00196	3372
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.02151	0.00157	4142
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.01235	0.0009	2877
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.01044	0.00076	1968
k__Bacteria|p__Firmicutes|c__CFGB45507	2|1239|	0.00956	0.0007	2331
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00863	0.00063	2483
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.00241	0.00018	429
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.00103	8e-05	274
k__Bacteria|p__Firmicutes|c__CFGB1800	2|1239|	0.00017	1e-05	26
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	56.87285	4.15322	11391866
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	25.8718	1.88933	7858854
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	4.08288	0.29816	677687
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	3.52517	0.25743	570377
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.66154	0.19436	495296
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.97981	0.14458	374219
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.21237	0.08853	191571
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.51016	0.03726	199922
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.44988	0.03285	75854
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.39655	0.02896	83847
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.38827	0.02835	74538
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.3372	0.02462	58788
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.28816	0.02104	46281
k__Bacteria|p__Bacteroidetes|c__CFGB4405|o__OFGB4405	2|976||	0.25534	0.01865	49154
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.21744	0.01588	45883
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.18284	0.01335	43094
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.08024	0.00586	11627
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.07897	0.00577	17465
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.07744	0.00566	20682
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	2|1239||	0.0718	0.00524	16679
k__Bacteria|p__Firmicutes|c__CFGB76388|o__OFGB76388	2|1239||	0.05324	0.00389	7258
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.03192	0.00233	6051
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.02681	0.00196	3372
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.02151	0.00157	4142
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.01235	0.0009	2877
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.01044	0.00076	1968
k__Bacteria|p__Firmicutes|c__CFGB45507|o__OFGB45507	2|1239||	0.00956	0.0007	2331
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.00863	0.00063	2483
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	2|1239||	0.00241	0.00018	429
k__Bacteria|p__Firmicutes|c__CFGB72924|o__OFGB72924	2|1239||	0.00103	8e-05	274
