#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan ANC-15278352Week-4_S73_L002_R1_001.fastq.gz,ANC-15278352Week-4_S73_L002_R2_001.fastq.gz --bowtie2out ANC-15278352Week-4_S73_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o ANC-15278352Week-4_S73_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:7888562
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.79183	7888562
k__Bacteria|p__Firmicutes	2|1239	91.11683	2.54382	7315971
k__Bacteria|p__Actinobacteria	2|201174	8.52219	0.23792	555156
k__Bacteria|p__Tenericutes	2|544448	0.21983	0.00614	9100
k__Bacteria|p__Bacteroidetes	2|976	0.12745	0.00356	7098
k__Bacteria|p__Proteobacteria	2|1224	0.0137	0.00038	1237
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	72.68655	2.02928	6310691
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	11.24538	0.31395	549739
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	6.2351	0.17407	388777
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.746	0.16042	381642
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.77619	0.07751	173514
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.28819	0.00805	29424
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.23835	0.00665	15427
k__Bacteria|p__Tenericutes|c__CFGB1779	2|544448|	0.21983	0.00614	9100
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.21333	0.00596	9497
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.16691	0.00466	9436
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.12745	0.00356	7098
