#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan ARR-15291456Week-4_S44_L002_R1_001.fastq.gz,ARR-15291456Week-4_S44_L002_R2_001.fastq.gz --bowtie2out ARR-15291456Week-4_S44_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o ARR-15291456Week-4_S44_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8240137
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.99046	8240137
k__Bacteria|p__Firmicutes	2|1239	75.63859	2.26194	6361313
k__Bacteria|p__Actinobacteria	2|201174	17.326	0.51813	1129967
k__Bacteria|p__Bacteroidetes	2|976	4.8214	0.14418	564556
k__Bacteria|p__Verrucomicrobia	2|74201	1.77872	0.05319	161089
k__Bacteria|p__Bacteria_unclassified	2|	0.41371	0.01237	21675
k__Bacteria|p__Proteobacteria	2|1224	0.02158	0.00065	1537
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	69.70659	2.08455	5907772
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	9.93894	0.29722	625398
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	7.38706	0.22091	504569
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	4.35231	0.13015	524566
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.77872	0.05319	161089
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	1.59881	0.04781	147635
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	1.51933	0.04543	99927
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.04063	0.03112	85352
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.6863	0.02052	35553
k__Bacteria|p__Firmicutes|c__CFGB9382	2|1239|	0.46909	0.01403	0
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.37249	0.01114	32579
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.31461	0.00941	16202
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.28293	0.00846	19535
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.15719	0.0047	10671
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.1075	0.00321	7025
k__Bacteria|p__Bacteria_unclassified|c__CFGB2987	2||	0.0991	0.00296	5473
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.03751	0.00112	2951
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.03432	0.00103	3289
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.02889	0.00086	2496
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.02516	0.00075	2751
k__Bacteria|p__Firmicutes|c__CFGB76782	2|1239|	0.02311	0.00069	2081
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.01803	0.00054	1223
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.01783	0.00053	1696
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.00355	0.00011	314
