#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan AYC-15222640Week-24_S191_L002_R1_001.fastq.gz,AYC-15222640Week-24_S191_L002_R2_001.fastq.gz --bowtie2out AYC-15222640Week-24_S191_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o AYC-15222640Week-24_S191_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4250230
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.38972	4250230
k__Bacteria|p__Firmicutes	2|1239	97.90532	1.36061	4170928
k__Bacteria|p__Actinobacteria	2|201174	2.09468	0.02911	79302
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	92.24411	1.28193	3908256
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.97385	0.06912	234774
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.77828	0.02471	64807
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.3164	0.0044	14495
k__Bacteria|p__Firmicutes|c__CFGB76106	2|1239|	0.25813	0.00359	10362
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.12468	0.00173	4679
k__Bacteria|p__Firmicutes|c__CFGB75783	2|1239|	0.10932	0.00152	5918
k__Bacteria|p__Firmicutes|c__CFGB8822	2|1239|	0.10471	0.00146	4597
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.09052	0.00126	2342
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	92.09791	1.2799	3903480
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	4.97385	0.06912	234774
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.78205	0.01087	23249
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.28292	0.00393	12780
k__Bacteria|p__Firmicutes|c__CFGB76106|o__OFGB76106	2|1239||	0.25813	0.00359	10362
