#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan BAD-15040372Week-24_S75_L001_R1_001.fastq.gz,BAD-15040372Week-24_S75_L001_R2_001.fastq.gz --bowtie2out BAD-15040372Week-24_S75_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o BAD-15040372Week-24_S75_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:5113423
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.54552	1.84354	5065978
k__Archaea	2157	1.45448	0.02721	47445
k__Bacteria|p__Firmicutes	2|1239	82.05173	1.53498	4220870
k__Bacteria|p__Actinobacteria	2|201174	9.13373	0.17087	383581
k__Bacteria|p__Bacteroidetes	2|976	4.10527	0.0768	320032
k__Bacteria|p__Proteobacteria	2|1224	3.0524	0.0571	129964
k__Archaea|p__Euryarchaeota	2157|28890	1.45448	0.02721	47445
k__Bacteria|p__Verrucomicrobia	2|74201	0.1062	0.00199	5994
k__Bacteria|p__Synergistetes	2|508458	0.09619	0.0018	5537
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	57.94501	1.084	3073615
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	7.20152	0.13472	434583
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.11631	0.09571	213187
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	4.10527	0.0768	320032
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.82762	0.0716	135115
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	3.43098	0.06418	133711
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	2.61791	0.04897	113227
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	2.21432	0.04142	90522
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	2.03508	0.03807	78072
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.98235	0.03708	92322
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.45448	0.02721	47445
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	1.34134	0.02509	49621
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.26319	0.02363	65574
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.86675	0.01621	45554
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.5189	0.00971	21349
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.41789	0.00782	15777
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.39077	0.00731	17742
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.35746	0.00669	0
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.31611	0.00591	15928
k__Bacteria|p__Firmicutes|c__CFGB1347	2|1239|	0.30174	0.00564	15306
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.29304	0.00548	16863
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	0.20423	0.00382	7906
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.17738	0.00332	11485
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.16324	0.00305	4869
k__Bacteria|p__Firmicutes|c__CFGB15209	2|1239|	0.15797	0.00296	6552
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.15138	0.00283	10356
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.12532	0.00234	6774
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.10715	0.002	5337
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.1062	0.00199	5994
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.10407	0.00195	5496
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.09619	0.0018	5537
k__Bacteria|p__Firmicutes|c__CFGB2898	2|1239|	0.05867	0.0011	3205
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.04175	0.00078	1775
k__Bacteria|p__Firmicutes|c__CFGB3043	2|1239|	0.0401	0.00075	1353
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.02963	0.00055	1229
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.0167	0.00031	596
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.0166	0.00031	960
k__Bacteria|p__Firmicutes|c__CFGB30287	2|1239|	0.00892	0.00017	420
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.00492	9e-05	238
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.00468	9e-05	185
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00392	7e-05	129
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.00295	6e-05	82
k__Bacteria|p__Firmicutes|c__CFGB2863	2|1239|	0.00292	5e-05	169
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.00153	3e-05	73
