#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan BCB-15216241Week-24_S284_L002_R1_001.fastq.gz,BCB-15216241Week-24_S284_L002_R2_001.fastq.gz --bowtie2out BCB-15216241Week-24_S284_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o BCB-15216241Week-24_S284_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1356545
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.4734	1356545
k__Bacteria|p__Firmicutes	2|1239	93.29785	0.44168	1282210
k__Bacteria|p__Actinobacteria	2|201174	6.16855	0.0292	62065
k__Bacteria|p__Proteobacteria	2|1224	0.41092	0.00195	8976
k__Bacteria|p__Bacteroidetes	2|976	0.12267	0.00058	3294
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	85.2453	0.40355	1191670
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.16855	0.0292	62065
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.366	0.0254	62029
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.31691	0.00623	12987
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.79575	0.00377	8232
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.34309	0.00162	7922
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.12368	0.00059	1195
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.12267	0.00058	3294
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.1184	0.00056	1645
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.06784	0.00032	1054
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.06134	0.00029	831
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.05403	0.00026	592
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	81.22032	0.3845	1142361
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	5.928	0.02806	59495
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	5.366	0.0254	62029
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	4.02498	0.01905	49309
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	1.31691	0.00623	12987
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.79575	0.00377	8232
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.34309	0.00162	7922
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.24055	0.00114	2570
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.12368	0.00059	1195
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.12267	0.00058	3294
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.1184	0.00056	1645
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.06784	0.00032	1054
