#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan BKN-15138933Week-0_S273_L001_R1_001.fastq.gz,BKN-15138933Week-0_S273_L001_R2_001.fastq.gz --bowtie2out BKN-15138933Week-0_S273_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o BKN-15138933Week-0_S273_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:13979978
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	97.1676	5.62999	13693481
k__Archaea	2157	2.8324	0.16411	286497
k__Bacteria|p__Firmicutes	2|1239	70.05561	4.0591	9599889
k__Bacteria|p__Actinobacteria	2|201174	14.03157	0.813	1789652
k__Bacteria|p__Bacteroidetes	2|976	11.47293	0.66475	2076855
k__Archaea|p__Euryarchaeota	2157|28890	2.82187	0.1635	285100
k__Bacteria|p__Verrucomicrobia	2|74201	0.65757	0.0381	106247
k__Bacteria|p__Proteobacteria	2|1224	0.48402	0.02804	71173
k__Bacteria|p__Bacteria_unclassified	2|	0.46589	0.02699	49665
k__Archaea|p__Thaumarchaeota	2157|651137	0.01053	0.00061	1397
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	46.8762	2.71606	6799461
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	11.63288	0.67402	1365834
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	10.88577	0.63073	1987542
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	7.19274	0.41676	901252
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.83883	0.39625	888400
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	2.82187	0.1635	285100
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	1.89039	0.10953	165962
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	1.80643	0.10467	206977
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.82312	0.04769	74998
k__Bacteria|p__Firmicutes|c__CFGB76352	2|1239|	0.81617	0.04729	106453
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.65757	0.0381	106247
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.64251	0.03723	98893
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.55696	0.03227	86921
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.52194	0.03024	75175
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.51504	0.02984	85736
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.46465	0.02692	60498
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.45765	0.02652	66758
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.33239	0.01926	40120
k__Bacteria|p__Firmicutes|c__CFGB10325	2|1239|	0.31217	0.01809	22786
k__Bacteria|p__Bacteroidetes|c__CFGB629	2|976|	0.30821	0.01786	49142
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.30372	0.0176	56796
k__Bacteria|p__Firmicutes|c__CFGB10312	2|1239|	0.27305	0.01582	20301
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.26785	0.01552	0
k__Bacteria|p__Verrucomicrobia|c__CFGB59108	2|74201|	0.25975	0.01505	0
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.25777	0.01494	37908
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.19804	0.01147	19761
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.15494	0.00898	19913
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.14622	0.00847	21722
k__Bacteria|p__Firmicutes|c__CFGB2898	2|1239|	0.10205	0.00591	17270
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.07845	0.00455	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.07057	0.00409	11814
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.06706	0.00389	12361
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.06382	0.0037	7345
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.04481	0.0026	5380
