#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan CAM-15037665Week-0_S45_L001_R1_001.fastq.gz,CAM-15037665Week-0_S45_L001_R2_001.fastq.gz --bowtie2out CAM-15037665Week-0_S45_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o CAM-15037665Week-0_S45_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8723573
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	97.9658	3.10732	8611200
k__Archaea	2157	2.0342	0.06452	112373
k__Bacteria|p__Firmicutes	2|1239	84.78257	2.68917	7486572
k__Bacteria|p__Actinobacteria	2|201174	6.70118	0.21255	494674
k__Bacteria|p__Bacteroidetes	2|976	3.51036	0.11134	384595
k__Bacteria|p__Verrucomicrobia	2|74201	2.14776	0.06812	189970
k__Archaea|p__Euryarchaeota	2157|28890	2.0342	0.06452	112373
k__Bacteria|p__Bacteria_unclassified	2|	0.68164	0.02162	40246
k__Bacteria|p__Proteobacteria	2|1224	0.14228	0.00451	15143
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	73.56011	2.33321	6635268
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.70118	0.21255	494674
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.32662	0.10552	369925
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.20166	0.10155	256070
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.14776	0.06812	189970
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	2.0342	0.06452	112373
