#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan CGE-15076563Week-24_S12_L002_R1_001.fastq.gz,CGE-15076563Week-24_S12_L002_R2_001.fastq.gz --bowtie2out CGE-15076563Week-24_S12_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o CGE-15076563Week-24_S12_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:7232210
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.10313	2.49293	7192739
k__Archaea	2157	0.89687	0.02256	39471
k__Bacteria|p__Firmicutes	2|1239	76.21421	1.91716	5282925
k__Bacteria|p__Bacteroidetes	2|976	12.48661	0.3141	1018807
k__Bacteria|p__Proteobacteria	2|1224	5.11539	0.12868	609931
k__Bacteria|p__Actinobacteria	2|201174	4.5204	0.11371	238021
k__Archaea|p__Euryarchaeota	2157|28890	0.88727	0.02232	38918
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.36938	0.00929	23064
k__Bacteria|p__Bacteria_unclassified	2|	0.3675	0.00924	17728
k__Bacteria|p__Verrucomicrobia	2|74201	0.02964	0.00075	2263
k__Archaea|p__Thaumarchaeota	2157|651137	0.0096	0.00024	553
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	61.223	1.54006	4297527
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	12.48661	0.3141	1018807
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	4.7207	0.11875	313245
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	4.42203	0.11124	566640
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	3.09319	0.07781	162093
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	2.89359	0.07279	234922
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.1426	0.0539	121003
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.97736	0.04974	96501
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.09952	0.02766	72769
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.99979	0.02515	63001
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.88727	0.02232	38918
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.60583	0.01524	44370
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.55463	0.01395	31947
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.53583	0.01348	24386
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.40045	0.01007	20517
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.33505	0.00843	0
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.28598	0.00719	17910
k__Bacteria|p__Firmicutes|c__CFGB2949	2|1239|	0.27971	0.00704	17295
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.11929	0.003	5933
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.11169	0.00281	7567
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.10874	0.00274	9467
k__Bacteria|p__Firmicutes|c__CFGB58251	2|1239|	0.10445	0.00263	7306
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.09532	0.0024	7759
k__Bacteria|p__Bacteroidetes|c__CFGB2107	2|976|	0.0834	0.0021	0
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.05395	0.00136	4963
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.0453	0.00114	3395
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.0434	0.00109	3585
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.03312	0.00083	1848
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.03245	0.00082	1405
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.03181	0.0008	0
k__Bacteria|p__Firmicutes|c__CFGB2942	2|1239|	0.03101	0.00078	1771
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.02964	0.00075	2263
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.02754	0.00069	1955
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.02688	0.00068	2151
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.02603	0.00065	1726
k__Bacteria|p__Firmicutes|c__CFGB1201	2|1239|	0.01381	0.00035	918
k__Bacteria|p__Firmicutes|c__CFGB15209	2|1239|	0.01207	0.0003	673
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.0096	0.00024	553
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.00695	0.00017	306
k__Bacteria|p__Firmicutes|c__CFGB9828	2|1239|	0.00509	0.00013	339
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.00308	8e-05	160
k__Bacteria|p__Firmicutes|c__CFGB2889	2|1239|	0.00223	6e-05	120
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	56.62103	1.42429	3997958
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	12.48661	0.3141	1018807
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	4.60198	0.11576	299569
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	4.43604	0.11159	296853
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	4.02485	0.10124	543228
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	3.09319	0.07781	162093
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	2.89359	0.07279	234922
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	1.96321	0.04938	95656
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.82355	0.04587	100767
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.09952	0.02766	72769
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.99979	0.02515	63001
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.88727	0.02232	38918
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.60583	0.01524	44370
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.55463	0.01395	31947
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.53583	0.01348	24386
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.40045	0.01007	20517
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.38137	0.00959	22366
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	2|201174||	0.33505	0.00843	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.31905	0.00803	20236
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	2|1798710||1906119	0.28598	0.00719	17910
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.28466	0.00716	16392
k__Bacteria|p__Firmicutes|c__CFGB2949|o__OFGB2949	2|1239||	0.27971	0.00704	17295
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	0.11929	0.003	5933
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	0.11169	0.00281	7567
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.10874	0.00274	9467
k__Bacteria|p__Firmicutes|c__CFGB58251|o__OFGB58251	2|1239||	0.10445	0.00263	7306
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.09532	0.0024	7759
k__Bacteria|p__Bacteroidetes|c__CFGB2107|o__OFGB2107	2|976||	0.0834	0.0021	0
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.05395	0.00136	4963
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	0.0453	0.00114	3395
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.0434	0.00109	3585
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	0.03312	0.00083	1848
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.03245	0.00082	1405
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2|1224||	0.03181	0.0008	0
k__Bacteria|p__Firmicutes|c__CFGB2942|o__OFGB2942	2|1239||	0.03101	0.00078	1771
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.02964	0.00075	2263
k__Bacteria|p__Firmicutes|c__CFGB3529|o__OFGB3529	2|1239||	0.02754	0.00069	1955
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	2|1239||	0.02688	0.00068	2151
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.02603	0.00065	1726
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.01581	0.0004	1046
k__Bacteria|p__Firmicutes|c__CFGB1201|o__OFGB1201	2|1239||	0.01381	0.00035	918
k__Bacteria|p__Firmicutes|c__CFGB15209|o__OFGB15209	2|1239||	0.01207	0.0003	673
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Nitrosopumilales	2157|651137||31932	0.0096	0.00024	553
k__Bacteria|p__Firmicutes|c__CFGB2881|o__OFGB2881	2|1239||	0.00695	0.00017	306
k__Bacteria|p__Firmicutes|c__CFGB9828|o__OFGB9828	2|1239||	0.00509	0.00013	339
k__Bacteria|p__Firmicutes|c__CFGB1262|o__OFGB1262	2|1239||	0.00308	8e-05	160
k__Bacteria|p__Firmicutes|c__CFGB2889|o__OFGB2889	2|1239||	0.00223	6e-05	120
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	29.01843	0.72995	2327591
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	19.05531	0.47933	1110992
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	8.28402	0.20838	551977
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	4.8532	0.12208	310963
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	4.60198	0.11576	299569
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	4.02485	0.10124	543228
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	3.24615	0.08166	230414
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936	2|1239|||	3.09319	0.07781	162093
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	2|1239|||	2.89359	0.07279	234922
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	2.52825	0.0636	317898
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	1.96321	0.04938	95656
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	1.9356	0.04869	129539
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.82355	0.04587	100767
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.99979	0.02515	63001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0.99239	0.02496	79337
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0.88727	0.02232	38918
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.76061	0.01913	53072
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.63028	0.01585	32311
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068	2|1239|||	0.60583	0.01524	44370
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.55961	0.01408	34128
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.53583	0.01348	24386
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	0.4843	0.01218	28089
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107|f__FGB12107	2|201174|||	0.40045	0.01007	20517
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2|1224|1236|72274|135621	0.38137	0.00959	22366
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.34717	0.00873	43512
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	2|1239|526524|526525|2810280	0.33892	0.00853	19697
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992|f__FGB2992	2|201174|||	0.33505	0.00843	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.33361	0.00839	25983
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.31905	0.00803	20236
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified	2|1798710||1906119|	0.28598	0.00719	17910
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	0.28466	0.00716	16392
k__Bacteria|p__Firmicutes|c__CFGB2949|o__OFGB2949|f__FGB2949	2|1239|||	0.27971	0.00704	17295
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.26875	0.00676	14647
