#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan CIC-15216918Week-4_S238_L002_R1_001.fastq.gz,CIC-15216918Week-4_S238_L002_R2_001.fastq.gz --bowtie2out CIC-15216918Week-4_S238_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o CIC-15216918Week-4_S238_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3296484
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.13479	3296484
k__Bacteria|p__Firmicutes	2|1239	90.51181	1.02712	3029395
k__Bacteria|p__Actinobacteria	2|201174	8.33024	0.09453	235734
k__Bacteria|p__Proteobacteria	2|1224	0.75136	0.00853	22543
k__Bacteria|p__Bacteria_unclassified	2|	0.38181	0.00433	7461
k__Bacteria|p__Bacteroidetes	2|976	0.02479	0.00028	1351
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	79.31323	0.90004	2670662
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	8.23813	0.09349	233297
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.75132	0.06527	182250
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	4.56172	0.05177	149580
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.75136	0.00853	22543
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.38181	0.00433	7461
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.30329	0.00344	7366
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.09211	0.00105	2437
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.02479	0.00028	1351
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	78.96674	0.89611	2660491
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	5.77849	0.06557	147538
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	5.75132	0.06527	182250
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	4.56172	0.05177	149580
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	2.45964	0.02791	85759
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.70044	0.00795	19703
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.38181	0.00433	7461
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.34444	0.00391	10114
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.30329	0.00344	7366
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.09211	0.00105	2437
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.05092	0.00058	2840
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.02479	0.00028	1351
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.00204	2e-05	57
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	73.11372	0.82969	2496621
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	5.77849	0.06557	147538
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	5.75132	0.06527	182250
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	4.56172	0.05177	149580
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	4.4811	0.05085	121007
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	2.45964	0.02791	85759
