#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan CKG-15094111Week-0_S237_L001_R1_001.fastq.gz,CKG-15094111Week-0_S237_L001_R2_001.fastq.gz --bowtie2out CKG-15094111Week-0_S237_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o CKG-15094111Week-0_S237_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:11132523
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	4.1483	11132523
k__Bacteria|p__Firmicutes	2|1239	82.69396	3.4304	9359788
k__Bacteria|p__Actinobacteria	2|201174	12.67374	0.52575	1176353
k__Bacteria|p__Bacteroidetes	2|976	2.43357	0.10095	353175
k__Bacteria|p__Verrucomicrobia	2|74201	1.65612	0.0687	191579
k__Bacteria|p__Bacteria_unclassified	2|	0.36459	0.01512	29141
k__Bacteria|p__Proteobacteria	2|1224	0.17803	0.00739	22487
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	74.72208	3.0997	8592924
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.92788	0.24591	578716
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	5.09749	0.21146	458360
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.49697	0.14506	268353
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.36176	0.13946	385739
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.43357	0.10095	353175
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.65612	0.0687	191579
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	1.64837	0.06838	139277
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.36459	0.01512	0
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.2766	0.01147	32870
