#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan CLC-15293076Week-4_S42_L002_R1_001.fastq.gz,CLC-15293076Week-4_S42_L002_R2_001.fastq.gz --bowtie2out CLC-15293076Week-4_S42_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o CLC-15293076Week-4_S42_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:14444774
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	4.78118	14444774
k__Bacteria|p__Firmicutes	2|1239	87.97448	4.20622	13084978
k__Bacteria|p__Actinobacteria	2|201174	11.4713	0.54846	1245893
k__Bacteria|p__Proteobacteria	2|1224	0.44404	0.02123	100033
k__Bacteria|p__Bacteroidetes	2|976	0.11018	0.00527	13870
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	82.00475	3.9208	12207810
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	8.50695	0.40673	887868
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.1478	0.19831	661539
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.9623	0.14163	357818
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.52555	0.02513	54910
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.51914	0.02482	50376
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.36553	0.01748	85242
k__Bacteria|p__Firmicutes|c__CFGB8822	2|1239|	0.33588	0.01606	50741
k__Bacteria|p__Firmicutes|c__CFGB76102	2|1239|	0.323	0.01544	46460
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.11018	0.00527	13870
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.09714	0.00464	10723
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.07851	0.00375	14791
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.00843	0.0004	1026
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.0058	0.00028	475
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.00437	0.00021	644
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.00262	0.00013	274
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	81.98914	3.92005	12205872
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	8.01463	0.38319	815611
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	4.1478	0.19831	661539
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.71013	0.08176	173281
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.25217	0.05987	184537
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.52555	0.02513	54910
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.51914	0.02482	50376
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.49232	0.02354	72257
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.36553	0.01748	85242
k__Bacteria|p__Firmicutes|c__CFGB8822|o__OFGB8822	2|1239||	0.33588	0.01606	50741
k__Bacteria|p__Firmicutes|c__CFGB76102|o__OFGB76102	2|1239||	0.323	0.01544	46460
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.11018	0.00527	13870
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.09714	0.00464	10723
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.07851	0.00375	14791
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.01561	0.00075	1938
k__Bacteria|p__Firmicutes|c__CFGB28775|o__OFGB28775	2|1239||	0.00843	0.0004	1026
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2|1239|1737404|1737405	0.0058	0.00028	475
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	0.00437	0.00021	644
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.00262	0.00013	274
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	78.6925	3.76243	11736025
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	8.01463	0.38319	815611
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	3.97621	0.19011	638897
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	1.78317	0.08526	245028
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.71013	0.08176	173281
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	1.35521	0.0648	208917
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	1.25217	0.05987	184537
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070|f__FGB3070	2|1239|||	0.52555	0.02513	54910
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.50516	0.02415	49243
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0.49232	0.02354	72257
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	0.36553	0.01748	85242
k__Bacteria|p__Firmicutes|c__CFGB8822|o__OFGB8822|f__FGB8822	2|1239|||	0.33588	0.01606	50741
k__Bacteria|p__Firmicutes|c__CFGB76102|o__OFGB76102|f__FGB76102	2|1239|||	0.323	0.01544	46460
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	2|1239|526524|526525|2810281	0.17159	0.0082	22642
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.11018	0.00527	13870
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.10449	0.005	10348
