#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan CMG-15116298Week-0_S205_L001_R1_001.fastq.gz,CMG-15116298Week-0_S205_L001_R2_001.fastq.gz --bowtie2out CMG-15116298Week-0_S205_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o CMG-15116298Week-0_S205_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:165965060
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.99225	60.57805	165954301
k__Archaea	2157	0.00775	0.0047	10759
k__Bacteria|p__Firmicutes	2|1239	90.96055	55.1064	149869331
k__Bacteria|p__Bacteroidetes	2|976	4.87345	2.95247	10421620
k__Bacteria|p__Actinobacteria	2|201174	3.29973	1.99907	4591337
k__Bacteria|p__Bacteria_unclassified	2|	0.62113	0.3763	648069
k__Bacteria|p__Proteobacteria	2|1224	0.23626	0.14313	422897
k__Archaea|p__Thaumarchaeota	2157|651137	0.00775	0.0047	10759
k__Bacteria|p__Tenericutes	2|544448	0.00057	0.00035	642
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00056	0.00034	405
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	71.65228	43.40892	122069071
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	5.65588	3.42649	7634909
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	5.22519	3.16557	6594591
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.31421	2.61367	7260711
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	4.27347	2.58899	9087204
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.09748	1.87654	4293565
k__Bacteria|p__Firmicutes|c__CFGB10312	2|1239|	1.0782	0.6532	838192
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.77325	0.46845	1512767
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.62113	0.3763	648069
k__Bacteria|p__Bacteroidetes|c__CFGB658	2|976|	0.59997	0.36348	1334416
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.3973	0.24069	695495
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.34943	0.2117	615371
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.31554	0.19116	699118
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.22697	0.1375	339121
