#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan CPA-15099180Week-0_S149_L001_R1_001.fastq.gz,CPA-15099180Week-0_S149_L001_R2_001.fastq.gz --bowtie2out CPA-15099180Week-0_S149_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o CPA-15099180Week-0_S149_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2351904
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.95289	0.81054	2351218
k__Archaea	2157	0.04711	0.00038	686
k__Bacteria|p__Firmicutes	2|1239	88.14817	0.71481	2126965
k__Bacteria|p__Actinobacteria	2|201174	10.32674	0.08374	184211
k__Bacteria|p__Bacteroidetes	2|976	0.80619	0.00654	22935
k__Bacteria|p__Proteobacteria	2|1224	0.6718	0.00545	17107
k__Archaea|p__Euryarchaeota	2157|28890	0.04711	0.00038	686
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	80.4201	0.65214	1980075
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	6.97196	0.05654	124656
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	4.08652	0.03314	66726
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.30462	0.0268	58698
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	2.09142	0.01696	49006
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.86517	0.00702	19275
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.80619	0.00654	22935
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.59694	0.00484	15664
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.51815	0.0042	9181
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.14327	0.00116	2305
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.07485	0.00061	1443
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.04711	0.00038	686
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.02353	0.00019	397
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	78.72613	0.63841	1944527
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	6.84613	0.05552	122350
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	4.08652	0.03314	66726
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	3.01409	0.02444	51811
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	2.09142	0.01696	49006
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.69398	0.01374	35548
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.86517	0.00702	19275
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.80619	0.00654	22935
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	0.59694	0.00484	15664
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.51815	0.0042	9181
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.29052	0.00236	6887
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.14327	0.00116	2305
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.07485	0.00061	1443
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.04711	0.00038	686
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.02412	0.0002	467
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	0.02353	0.00019	397
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	65.84853	0.53398	1680045
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	9.11735	0.07393	178544
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	6.84613	0.05552	122350
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	3.45537	0.02802	57034
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	3.01409	0.02444	51811
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	2.33586	0.01894	52586
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	2.09142	0.01696	49006
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	1.69398	0.01374	35548
