#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan DAC-15149706Week-0_S110_L001_R1_001.fastq.gz,DAC-15149706Week-0_S110_L001_R2_001.fastq.gz --bowtie2out DAC-15149706Week-0_S110_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o DAC-15149706Week-0_S110_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:9094257
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	3.22997	9094257
k__Bacteria|p__Firmicutes	2|1239	87.81114	2.83627	7933535
k__Bacteria|p__Actinobacteria	2|201174	4.63088	0.14958	338636
k__Bacteria|p__Verrucomicrobia	2|74201	3.83735	0.12395	345635
k__Bacteria|p__Bacteroidetes	2|976	3.63868	0.11753	469853
k__Bacteria|p__Proteobacteria	2|1224	0.08194	0.00265	6598
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	74.32606	2.40071	6907126
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	6.01421	0.19426	464833
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.07827	0.13173	298646
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	3.83735	0.12395	345635
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.61251	0.11668	467245
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.48822	0.11267	242261
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.55257	0.01785	54904
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.46084	0.01489	43011
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.43253	0.01397	32091
k__Bacteria|p__Firmicutes|c__CFGB13380	2|1239|	0.23254	0.00751	10858
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.13704	0.00443	10118
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.12008	0.00388	7899
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.0959	0.0031	8709
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.07034	0.00227	5671
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.02771	0.0009	1960
k__Bacteria|p__Bacteroidetes|c__CFGB11479	2|976|	0.02617	0.00085	2608
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.02547	0.00082	1450
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.00712	0.00023	454
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.00706	0.00023	640
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	0.00509	0.00016	481
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.00454	0.00015	287
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.00454	0.00015	424
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.00189	6e-05	131
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	71.94843	2.32391	6708476
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	6.01421	0.19426	464833
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	3.83735	0.12395	345635
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	3.81729	0.1233	279846
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.61251	0.11668	467245
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.48822	0.11267	242261
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.35668	0.07612	196983
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.55257	0.01785	54904
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.46084	0.01489	43011
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.33239	0.01074	23793
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.26098	0.00843	18800
k__Bacteria|p__Firmicutes|c__CFGB13380|o__OFGB13380	2|1239||	0.23254	0.00751	10858
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.13704	0.00443	10118
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.12008	0.00388	7899
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.08429	0.00272	7157
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.07034	0.00227	5671
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.06702	0.00216	6353
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.02888	0.00093	2356
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.02771	0.0009	1960
k__Bacteria|p__Bacteroidetes|c__CFGB11479|o__OFGB11479	2|976||	0.02617	0.00085	2608
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.02547	0.00082	1450
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.02095	0.00068	1667
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	0.00712	0.00023	454
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.00706	0.00023	640
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926	2|1239||	0.00509	0.00016	481
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	0.00454	0.00015	424
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2|1224|28211|204455	0.00454	0.00015	287
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	2|1239||	0.00189	6e-05	131
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	46.53602	1.5031	4842691
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	20.3486	0.65725	1430475
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	5.58423	0.18037	432745
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	3.83735	0.12395	345635
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	3.79856	0.12269	278657
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	2.35668	0.07612	196983
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	2.26422	0.07313	364939
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	2.04604	0.06609	134173
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	1.7074	0.05515	157929
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	1.33741	0.0432	96772
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	1.3244	0.04278	80985
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	1.3135	0.04243	97536
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	1.1208	0.0362	106998
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068	2|1239|||	0.55257	0.01785	54904
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.46084	0.01489	43011
