#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan DAM-15264483Week-0_S21_L002_R1_001.fastq.gz,DAM-15264483Week-0_S21_L002_R2_001.fastq.gz --bowtie2out DAM-15264483Week-0_S21_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o DAM-15264483Week-0_S21_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:12060367
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	4.53136	12060367
k__Bacteria|p__Firmicutes	2|1239	65.84824	2.98382	8127710
k__Bacteria|p__Actinobacteria	2|201174	22.21173	1.00649	2163662
k__Bacteria|p__Bacteroidetes	2|976	11.91145	0.53975	1765396
k__Bacteria|p__Verrucomicrobia	2|74201	0.02802	0.00127	3540
k__Bacteria|p__Proteobacteria	2|1224	0.00057	3e-05	59
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	47.46664	2.15088	6318356
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	14.08564	0.63827	1367373
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	11.5186	0.52195	1094889
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	10.56621	0.47879	1057060
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	10.4223	0.47227	1578723
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.58129	0.16228	358878
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	1.07441	0.04869	128338
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.41474	0.01879	58335
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.2621	0.01188	26501
