#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan DAR-15124126Week-4_S126_L001_R1_001.fastq.gz,DAR-15124126Week-4_S126_L001_R2_001.fastq.gz --bowtie2out DAR-15124126Week-4_S126_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o DAR-15124126Week-4_S126_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:13003069
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.36066	4.95998	12945675
k__Archaea	2157	0.63934	0.03192	57394
k__Bacteria|p__Firmicutes	2|1239	85.16527	4.25136	11424344
k__Bacteria|p__Actinobacteria	2|201174	13.23932	0.66089	1379983
k__Archaea|p__Euryarchaeota	2157|28890	0.57548	0.02873	50092
k__Bacteria|p__Proteobacteria	2|1224	0.33613	0.01678	46329
k__Bacteria|p__Bacteroidetes	2|976	0.31946	0.01595	63768
k__Bacteria|p__Bacteria_unclassified	2|	0.16098	0.00804	13839
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.08306	0.00415	9555
k__Archaea|p__Thaumarchaeota	2157|651137	0.06386	0.00319	7302
k__Bacteria|p__Verrucomicrobia	2|74201	0.05645	0.00282	7857
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	66.8013	3.33465	9325138
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	7.9411	0.39641	770991
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	7.20923	0.35988	775165
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.93214	0.29613	594510
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.72898	0.23607	624819
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.89308	0.04458	94411
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.68915	0.0344	106227
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.64091	0.03199	82029
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.57548	0.02873	50092
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.55951	0.02793	58185
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.34063	0.017	37398
k__Bacteria|p__Firmicutes|c__CFGB1355	2|1239|	0.31887	0.01592	39225
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.29788	0.01487	61186
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.27069	0.01351	36395
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.24733	0.01235	36979
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.20081	0.01002	27381
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.16098	0.00804	13839
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.13824	0.0069	13646
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.11911	0.00595	14430
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	0.10789	0.00539	15771
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.09416	0.0047	12299
k__Bacteria|p__Bacteroidetes|c__CFGB2107	2|976|	0.08306	0.00415	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.06952	0.00347	10027
k__Bacteria|p__Firmicutes|c__CFGB2949	2|1239|	0.06745	0.00337	8276
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.06386	0.00319	7302
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.05645	0.00282	7857
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.05195	0.00259	0
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.05131	0.00256	8230
