#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan DCM-15190188Week-4_S210_L002_R1_001.fastq.gz,DCM-15190188Week-4_S210_L002_R2_001.fastq.gz --bowtie2out DCM-15190188Week-4_S210_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o DCM-15190188Week-4_S210_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8299115
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.79417	8299115
k__Bacteria|p__Firmicutes	2|1239	87.56286	2.44666	7090663
k__Bacteria|p__Bacteroidetes	2|976	6.69024	0.18694	845970
k__Bacteria|p__Actinobacteria	2|201174	5.55388	0.15518	349077
k__Bacteria|p__Proteobacteria	2|1224	0.19301	0.00539	13405
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	73.78281	2.06162	6111504
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	6.69024	0.18694	845970
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	4.77461	0.13341	311295
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.51205	0.12607	286982
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	3.00649	0.08401	242741
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	2.88404	0.08059	170656
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.91891	0.05362	171653
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.68969	0.01927	41814
k__Bacteria|p__Firmicutes|c__CFGB76238	2|1239|	0.38571	0.01078	30607
k__Bacteria|p__Actinobacteria|c__CFGB10299	2|201174|	0.35214	0.00984	20281
k__Bacteria|p__Firmicutes|c__CFGB1328	2|1239|	0.31602	0.00883	18609
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.14634	0.00409	9724
k__Bacteria|p__Firmicutes|c__CFGB76352	2|1239|	0.14106	0.00394	8214
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.09728	0.00272	5869
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.08354	0.00233	6590
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.03216	0.0009	2879
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.02023	0.00057	1684
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.01452	0.00041	802
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.01098	0.00031	696
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.00983	0.00027	674
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.00721	0.0002	638
k__Bacteria|p__Firmicutes|c__CFGB9581	2|1239|	0.00598	0.00017	379
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.0037	0.0001	307
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.00219	6e-05	131
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	66.10486	1.84708	5564903
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	6.69024	0.18694	845970
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	5.76885	0.16119	417132
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	3.79847	0.10614	223667
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	3.00649	0.08401	242741
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	2.88404	0.08059	170656
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	2.6745	0.07473	194859
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	2.10011	0.05868	116436
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.91891	0.05362	171653
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	1.90909	0.05334	129469
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.71358	0.01994	63315
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.68257	0.01907	41246
k__Bacteria|p__Firmicutes|c__CFGB76238|o__OFGB76238	2|1239||	0.38571	0.01078	30607
k__Bacteria|p__Actinobacteria|c__CFGB10299|o__OFGB10299	2|201174||	0.35214	0.00984	20281
k__Bacteria|p__Firmicutes|c__CFGB1328|o__OFGB1328	2|1239||	0.31602	0.00883	18609
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.14634	0.00409	9724
k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352	2|1239||	0.14106	0.00394	8214
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.09728	0.00272	5869
k__Bacteria|p__Firmicutes|c__CFGB3529|o__OFGB3529	2|1239||	0.08354	0.00233	6590
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	2|1224|28211|356	0.03216	0.0009	2879
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	0.02023	0.00057	1684
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.01452	0.00041	802
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.01098	0.00031	696
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249	2|1239||	0.00983	0.00027	674
k__Bacteria|p__Firmicutes|c__CFGB2918|o__OFGB2918	2|1239||	0.00721	0.0002	638
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.00712	0.0002	568
k__Bacteria|p__Firmicutes|c__CFGB9581|o__OFGB9581	2|1239||	0.00598	0.00017	379
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.0037	0.0001	307
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	2|1239||	0.00219	6e-05	131
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	52.78143	1.4748	4615730
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	9.02406	0.25215	608791
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	5.76885	0.16119	417132
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	5.13765	0.14355	708796
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	3.79847	0.10614	223667
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	3.51358	0.09818	278305
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	3.00649	0.08401	242741
