#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan DJW-15123901Week-4_S227_L001_R1_001.fastq.gz,DJW-15123901Week-4_S227_L001_R2_001.fastq.gz --bowtie2out DJW-15123901Week-4_S227_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o DJW-15123901Week-4_S227_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8615492
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.84122	2.83902	8559955
k__Eukaryota	2759	0.15878	0.00451	55537
k__Bacteria|p__Firmicutes	2|1239	81.59287	2.32012	7152866
k__Bacteria|p__Actinobacteria	2|201174	15.18113	0.43168	976640
k__Bacteria|p__Proteobacteria	2|1224	3.04612	0.08662	427183
k__Eukaryota|p__Ascomycota	2759|4890	0.15878	0.00451	55537
k__Bacteria|p__Bacteroidetes	2|976	0.02111	0.0006	3266
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	73.22015	2.08204	6508159
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	14.25073	0.40522	890627
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.85154	0.16639	501179
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	3.04612	0.08662	427183
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.43537	0.04082	84151
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.08581	0.03088	59377
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.9304	0.02646	86013
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	0.15878	0.00451	55537
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.02111	0.0006	3266
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	73.22015	2.08204	6508159
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	14.18684	0.40341	885133
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	5.85154	0.16639	501179
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	2.91184	0.0828	417718
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.43537	0.04082	84151
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.08581	0.03088	59377
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.91328	0.02597	84903
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	2759|4890|4891|4892	0.15878	0.00451	55537
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.13428	0.00382	9465
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.02111	0.0006	3266
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.01712	0.00049	1110
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.01671	0.00048	1464
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	60.72709	1.7268	5096147
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	14.18684	0.40341	885133
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	11.876	0.3377	1352898
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	5.4428	0.15477	468636
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	2.91184	0.0828	417718
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	1.43537	0.04082	84151
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.9648	0.02743	51420
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.91328	0.02597	84903
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae	2|1239|526524|526525|2810281	0.40874	0.01162	32543
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	2759|4890|4891|4892|4893	0.15878	0.00451	55537
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	2|1224|1236|135625|712	0.13428	0.00382	9465
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.07474	0.00213	4893
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0.02326	0.00066	1837
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	2|1239|91061|186826|186828	0.02302	0.00065	1227
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.02111	0.0006	3266
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.01712	0.00049	1110
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0.01671	0.00048	1464
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia	2|1239|186801|186802|186803|572511	42.38102	1.20512	3645715
