#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan DKA-15113787Week-0_S146_L001_R1_001.fastq.gz,DKA-15113787Week-0_S146_L001_R2_001.fastq.gz --bowtie2out DKA-15113787Week-0_S146_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o DKA-15113787Week-0_S146_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:17695162
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.9966	6.4798	17694657
k__Archaea	2157	0.0034	0.00022	505
k__Bacteria|p__Firmicutes	2|1239	78.03438	5.05664	13855522
k__Bacteria|p__Actinobacteria	2|201174	10.01712	0.64911	1427565
k__Bacteria|p__Bacteroidetes	2|976	9.85638	0.6387	2031032
k__Bacteria|p__Verrucomicrobia	2|74201	1.82258	0.1181	329344
k__Bacteria|p__Proteobacteria	2|1224	0.25703	0.01666	50118
k__Bacteria|p__Bacteria_unclassified	2|	0.00911	0.00059	1076
k__Archaea|p__Thaumarchaeota	2157|651137	0.0034	0.00022	505
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	71.4685	4.63117	12791801
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	9.85638	0.6387	2031032
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	6.70644	0.43458	940448
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.31068	0.21453	487117
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	1.94003	0.12571	291448
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.82258	0.1181	329344
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.1162	0.07233	150680
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.72745	0.04714	104501
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.42005	0.02722	87850
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.39062	0.02531	77865
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.3822	0.02477	76474
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.30148	0.01954	64070
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.2456	0.01591	45986
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.24395	0.01581	48219
