#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan DLH-15310183Week-4_S293_L002_R1_001.fastq.gz,DLH-15310183Week-4_S293_L002_R2_001.fastq.gz --bowtie2out DLH-15310183Week-4_S293_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o DLH-15310183Week-4_S293_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8705791
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	91.55921	2.82484	8251998
k__Archaea	2157	8.44079	0.26042	453793
k__Bacteria|p__Firmicutes	2|1239	49.58544	1.52984	4129014
k__Bacteria|p__Verrucomicrobia	2|74201	24.44869	0.75431	2275982
k__Archaea|p__Euryarchaeota	2157|28890	8.40503	0.25932	451266
k__Bacteria|p__Bacteroidetes	2|976	7.84067	0.24191	962111
k__Bacteria|p__Synergistetes	2|508458	4.47715	0.13813	425040
k__Bacteria|p__Proteobacteria	2|1224	2.90215	0.08954	265445
k__Bacteria|p__Actinobacteria	2|201174	2.03542	0.0628	180076
k__Bacteria|p__Bacteria_unclassified	2|	0.2697	0.00832	14330
k__Archaea|p__Thaumarchaeota	2157|651137	0.03576	0.0011	2527
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	29.90894	0.92277	2560358
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	24.44869	0.75431	2275982
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	8.40503	0.25932	451266
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	7.67201	0.2367	947797
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	5.99748	0.18504	511628
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	4.47715	0.13813	425040
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	4.44933	0.13727	271457
k__Bacteria|p__Firmicutes|c__CFGB2979	2|1239|	3.01135	0.09291	209350
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	2.08653	0.06437	183892
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.03236	0.0627	179895
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	1.32021	0.04073	109223
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.31149	0.04046	117196
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.79835	0.02463	57533
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.67446	0.02081	71515
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.47146	0.01455	44914
k__Bacteria|p__Firmicutes|c__CFGB3172	2|1239|	0.4487	0.01384	31132
k__Bacteria|p__Firmicutes|c__CFGB76101	2|1239|	0.37598	0.0116	36423
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.2697	0.00832	14330
k__Bacteria|p__Bacteroidetes|c__CFGB529	2|976|	0.16866	0.0052	14314
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.11582	0.00357	7444
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.08651	0.00267	5832
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.03576	0.0011	2527
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.03496	0.00108	2685
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.03244	0.001	2565
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.02919	0.0009	1787
k__Bacteria|p__Firmicutes|c__CFGB3004	2|1239|	0.02674	0.00082	2479
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	0.0134	0.00041	1210
k__Bacteria|p__Firmicutes|c__CFGB9238	2|1239|	0.01123	0.00035	1040
k__Bacteria|p__Firmicutes|c__CFGB75715	2|1239|	0.00746	0.00023	561
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.00306	9e-05	181
k__Bacteria|p__Firmicutes|c__CFGB1814	2|1239|	0.00303	9e-05	419
k__Bacteria|p__Firmicutes|c__CFGB2898	2|1239|	0.00234	7e-05	211
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	26.10737	0.80548	2259717
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	24.44869	0.75431	2275982
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	8.40503	0.25932	451266
