#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan DMW-15042669Week-24_S53_L001_R1_001.fastq.gz,DMW-15042669Week-24_S53_L001_R2_001.fastq.gz --bowtie2out DMW-15042669Week-24_S53_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o DMW-15042669Week-24_S53_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:12456943
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.88624	4.3883	12448229
k__Archaea	2157	0.11376	0.005	8714
k__Bacteria|p__Firmicutes	2|1239	85.9386	3.77553	10787196
k__Bacteria|p__Actinobacteria	2|201174	8.23239	0.36167	788901
k__Bacteria|p__Bacteroidetes	2|976	4.34623	0.19094	704450
k__Bacteria|p__Verrucomicrobia	2|74201	1.32629	0.05827	162486
k__Archaea|p__Euryarchaeota	2157|28890	0.11376	0.005	8714
k__Bacteria|p__Proteobacteria	2|1224	0.04273	0.00188	5196
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	76.77294	3.37286	9822727
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	7.86618	0.34558	757131
k__Bacteria|p__Firmicutes|c__CFGB3237	2|1239|	4.72885	0.20775	429501
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	4.15723	0.18264	681602
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.32629	0.05827	162486
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.88854	0.03904	98931
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.78604	0.03453	106631
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.74475	0.03272	100650
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.6398	0.02811	86784
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.48702	0.0214	37137
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.26594	0.01168	23797
k__Bacteria|p__Bacteroidetes|c__CFGB629	2|976|	0.189	0.0083	22848
