#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan EAA-15100618W24_S159_L001_R1_001.fastq.gz,EAA-15100618W24_S159_L001_R2_001.fastq.gz --bowtie2out EAA-15100618W24_S159_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o EAA-15100618W24_S159_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:5549667
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.96617	5549667
k__Bacteria|p__Firmicutes	2|1239	78.37907	1.54107	4618250
k__Bacteria|p__Actinobacteria	2|201174	20.68243	0.40665	879154
k__Bacteria|p__Verrucomicrobia	2|74201	0.71985	0.01415	39468
k__Bacteria|p__Proteobacteria	2|1224	0.11176	0.0022	6337
k__Bacteria|p__Bacteria_unclassified	2|	0.05509	0.00108	1974
k__Bacteria|p__Bacteroidetes	2|976	0.05181	0.00102	4484
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	73.47972	1.44474	4392978
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	13.86045	0.27252	570452
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.82198	0.13413	308702
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	1.57524	0.03097	61246
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.50309	0.02955	68544
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.71985	0.01415	39468
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.65917	0.01296	28622
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.30118	0.00592	13276
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.29834	0.00587	18044
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.23076	0.00454	0
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.19814	0.0039	12029
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.11176	0.0022	6337
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.06625	0.0013	3763
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.05509	0.00108	1974
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.05448	0.00107	3917
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.05181	0.00102	4484
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00946	0.00019	369
k__Bacteria|p__Firmicutes|c__CFGB76779	2|1239|	0.00325	6e-05	211
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	72.89116	1.43317	4363142
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	13.86045	0.27252	570452
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	6.04514	0.11886	260888
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	1.57524	0.03097	61246
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.50309	0.02955	68544
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.77683	0.01527	47814
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.71985	0.01415	39468
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.65917	0.01296	28622
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.54359	0.01069	27658
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.30118	0.00592	13276
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.29834	0.00587	18044
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2|1224||	0.23076	0.00454	0
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	0.19814	0.0039	12029
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.11176	0.0022	6337
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.06625	0.0013	3763
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.05509	0.00108	1974
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.05448	0.00107	3917
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.05181	0.00102	4484
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.04497	0.00088	2178
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.00946	0.00019	369
k__Bacteria|p__Firmicutes|c__CFGB76779|o__OFGB76779	2|1239||	0.00325	6e-05	211
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	66.31152	1.3038	4011042
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	13.86045	0.27252	570452
