#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan EAI-15231399Week-4_S264_L002_R1_001.fastq.gz,EAI-15231399Week-4_S264_L002_R2_001.fastq.gz --bowtie2out EAI-15231399Week-4_S264_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o EAI-15231399Week-4_S264_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:5021254
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.89219	5021254
k__Bacteria|p__Firmicutes	2|1239	64.6455	1.22322	3428528
k__Bacteria|p__Actinobacteria	2|201174	27.47092	0.5198	1132776
k__Bacteria|p__Bacteroidetes	2|976	7.20597	0.13635	425789
k__Bacteria|p__Verrucomicrobia	2|74201	0.45661	0.00864	24093
k__Bacteria|p__Proteobacteria	2|1224	0.22099	0.00418	10068
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	60.71205	1.14879	3251486
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	22.8678	0.4327	928542
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	7.20597	0.13635	425789
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.60313	0.0871	204234
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.90307	0.03601	101620
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.81177	0.01536	30279
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.45661	0.00864	24093
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.21303	0.00403	9586
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.15848	0.003	8848
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.12406	0.00235	5419
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.06549	0.00124	3580
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.03736	0.00071	2585
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.02162	0.00041	1144
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.00796	0.00015	482
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00453	9e-05	151
