#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan EJ-15081052Week-24_S15_L002_R1_001.fastq.gz,EJ-15081052Week-24_S15_L002_R2_001.fastq.gz --bowtie2out EJ-15081052Week-24_S15_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o EJ-15081052Week-24_S15_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4710091
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.99928	1.77887	4710062
k__Archaea	2157	0.00072	1e-05	29
k__Bacteria|p__Firmicutes	2|1239	66.48225	1.18264	3039649
k__Bacteria|p__Actinobacteria	2|201174	21.15453	0.37631	831003
k__Bacteria|p__Proteobacteria	2|1224	6.71951	0.11953	470584
k__Bacteria|p__Bacteroidetes	2|976	5.38116	0.09572	356751
k__Bacteria|p__Verrucomicrobia	2|74201	0.18556	0.0033	9205
k__Bacteria|p__Synergistetes	2|508458	0.04195	0.00075	1819
k__Bacteria|p__Bacteria_unclassified	2|	0.03433	0.00061	1051
k__Archaea|p__Thaumarchaeota	2157|651137	0.00072	1e-05	29
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	42.98097	0.76458	2143379
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	14.15073	0.25172	507225
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	14.14613	0.25164	556542
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.68428	0.10112	225973
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	5.38116	0.09572	356751
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	4.8097	0.08556	411321
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.91976	0.06973	150674
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.76799	0.03145	55052
