#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan ELV-10008101Week-0_S76_L001_R1_001.fastq.gz,ELV-10008101Week-0_S76_L001_R2_001.fastq.gz --bowtie2out ELV-10008101Week-0_S76_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o ELV-10008101Week-0_S76_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:6170103
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.08884	6170103
k__Bacteria|p__Firmicutes	2|1239	86.86603	1.81449	5544872
k__Bacteria|p__Actinobacteria	2|201174	13.04563	0.2725	616923
k__Bacteria|p__Bacteroidetes	2|976	0.08834	0.00185	8308
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	79.95333	1.6701	5187197
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	7.74433	0.16177	370331
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.3013	0.11074	246592
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.86723	0.08078	222849
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.35509	0.04919	99295
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.50756	0.0106	21216
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.11253	0.00235	8596
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.08834	0.00185	8308
k__Bacteria|p__Firmicutes|c__CFGB75783	2|1239|	0.07029	0.00147	5719
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	79.25821	1.65558	5150116
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	7.31674	0.15284	344273
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	4.52677	0.09456	193564
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	3.86723	0.08078	222849
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.35509	0.04919	99295
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.77453	0.01618	53028
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.49846	0.01041	20659
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.49446	0.01033	26727
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.20066	0.00419	10354
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.11253	0.00235	8596
