#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan ESS-15253015Week-0_S108_L002_R1_001.fastq.gz,ESS-15253015Week-0_S108_L002_R2_001.fastq.gz --bowtie2out ESS-15253015Week-0_S108_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o ESS-15253015Week-0_S108_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:6434822
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.30257	6434822
k__Bacteria|p__Firmicutes	2|1239	87.91394	2.02428	5646316
k__Bacteria|p__Actinobacteria	2|201174	6.29532	0.14495	312278
k__Bacteria|p__Bacteroidetes	2|976	5.76569	0.13276	474620
k__Bacteria|p__Verrucomicrobia	2|74201	0.02505	0.00058	1608
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	78.98148	1.81861	5134942
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	5.76569	0.13276	474620
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.72969	0.13193	295304
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.64325	0.08389	184381
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.34766	0.05406	113621
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	1.34676	0.03101	100085
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.73111	0.01683	49276
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.30441	0.00701	14276
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.21191	0.00488	14321
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.15297	0.00352	7746
k__Bacteria|p__Firmicutes|c__CFGB72899	2|1239|	0.12854	0.00296	5614
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.08248	0.0019	6945
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.0762	0.00175	5070
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.04214	0.00097	3345
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.02505	0.00058	1608
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.01547	0.00036	780
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.00944	0.00022	691
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.00268	6e-05	125
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	77.79431	1.79127	5064202
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	5.76569	0.13276	474620
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	5.72969	0.13193	295304
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	3.41987	0.07874	168618
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	2.34766	0.05406	113621
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	1.34676	0.03101	100085
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.18558	0.0273	70651
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.73111	0.01683	49276
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.30441	0.00701	14276
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.22338	0.00514	15763
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.21191	0.00488	14321
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.15297	0.00352	7746
k__Bacteria|p__Firmicutes|c__CFGB72899|o__OFGB72899	2|1239||	0.12854	0.00296	5614
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.08248	0.0019	6945
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.0762	0.00175	5070
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.04214	0.00097	3345
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.02505	0.00058	1608
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.01547	0.00036	780
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503	2|1239||	0.00944	0.00022	691
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.00268	6e-05	125
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.00158	4e-05	89
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	54.1397	1.24661	3772561
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	17.83419	0.41065	930861
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	2|1239|526524|526525|2810280	5.0151	0.11548	254221
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	3.65829	0.08423	358835
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	3.54526	0.08163	214887
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	3.26449	0.07517	161583
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	2.34766	0.05406	113621
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	1.55146	0.03572	81504
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	2|1239|||	1.34676	0.03101	100085
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	1.17317	0.02701	69904
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	1.04582	0.02408	64557
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068	2|1239|||	0.73111	0.01683	49276
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.71459	0.01645	41083
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.39955	0.0092	21340
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.36473	0.0084	19740
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107|f__FGB12107	2|201174|||	0.30441	0.00701	14276
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.22338	0.00514	15763
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2|1239|909932|909929|1843491	0.21191	0.00488	14321
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0.15538	0.00358	7035
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783	2|1239|||	0.15297	0.00352	7746
k__Bacteria|p__Firmicutes|c__CFGB72899|o__OFGB72899|f__FGB72899	2|1239|||	0.12854	0.00296	5614
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	0.09762	0.00225	8369
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718|f__FGB9718	2|1239|||	0.08248	0.0019	6945
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.0762	0.00175	5070
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0.04706	0.00108	3443
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048|f__FGB3048	2|1239|||	0.04214	0.00097	3345
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	0.02505	0.00058	1608
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292|f__FGB1292	2|1239|||	0.01547	0.00036	780
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified	2|1239|186801|186802|	0.01241	0.00029	747
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.01172	0.00027	1129
k__Bacteria|p__Firmicutes|c__CFGB45503|o__OFGB45503|f__FGB45503	2|1239|||	0.00944	0.00022	691
