#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan EYL-15285804Week-0_S90_L002_R1_001.fastq.gz,EYL-15285804Week-0_S90_L002_R2_001.fastq.gz --bowtie2out EYL-15285804Week-0_S90_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o EYL-15285804Week-0_S90_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3125412
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.12128	3125412
k__Bacteria|p__Firmicutes	2|1239	75.27779	0.84407	2245143
k__Bacteria|p__Verrucomicrobia	2|74201	17.62308	0.1976	598434
k__Bacteria|p__Bacteroidetes	2|976	3.73225	0.04185	165217
k__Bacteria|p__Actinobacteria	2|201174	3.18764	0.03574	108682
k__Bacteria|p__Proteobacteria	2|1224	0.17925	0.00201	7936
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	50.51522	0.56642	1648373
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	18.4165	0.2065	452227
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	17.62308	0.1976	598434
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.73225	0.04185	165217
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.48375	0.03906	71701
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.09334	0.03468	106292
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.6259	0.01823	42018
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.96005	0.01076	23523
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.25435	0.00285	6611
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.17378	0.00195	7791
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.09429	0.00106	2390
k__Bacteria|p__Firmicutes|c__CFGB3009	2|1239|	0.02202	0.00025	690
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00546	6e-05	145
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	49.91644	0.5597	1631028
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	18.4165	0.2065	452227
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	17.62308	0.1976	598434
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.73225	0.04185	165217
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.48375	0.03906	71701
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	2.33013	0.02613	85419
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.0777	0.01208	23977
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.96005	0.01076	23523
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.76321	0.00856	20873
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.59105	0.00663	17150
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.54821	0.00615	18041
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.25435	0.00285	6611
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.17378	0.00195	7791
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.09429	0.00106	2390
k__Bacteria|p__Firmicutes|c__CFGB3009|o__OFGB3009	2|1239||	0.02202	0.00025	690
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.00773	9e-05	195
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.00546	6e-05	145
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	30.35576	0.34037	1044211
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	18.4165	0.2065	452227
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	17.62308	0.1976	598434
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	13.27955	0.1489	400172
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	3.77481	0.04233	116307
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	3.37152	0.0378	69224
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	2.33013	0.02613	85419
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	1.94006	0.02175	101231
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	1.28749	0.01444	40549
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	1.0777	0.01208	23977
