#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan FPB-15117693Week-24_S130_L001_R1_001.fastq.gz,FPB-15117693Week-24_S130_L001_R2_001.fastq.gz --bowtie2out FPB-15117693Week-24_S130_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o FPB-15117693Week-24_S130_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:15232980
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	5.79245	15232980
k__Bacteria|p__Firmicutes	2|1239	59.1461	3.42601	10055207
k__Bacteria|p__Actinobacteria	2|201174	39.05713	2.26236	4884197
k__Bacteria|p__Bacteroidetes	2|976	1.41383	0.0819	255376
k__Bacteria|p__Bacteria_unclassified	2|	0.38293	0.02218	38200
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	51.38296	2.97633	9093943
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	25.28058	1.46436	3170060
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	12.09751	0.70074	1511329
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	7.04429	0.40804	874259
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	1.22472	0.07094	220206
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.50797	0.02942	61278
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.38293	0.02218	38200
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.18911	0.01095	35170
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.13731	0.00795	12683
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.07151	0.00414	12742
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.00205	0.00012	302
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	50.30164	2.9137	8931856
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	25.23337	1.46163	3163633
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	10.9383	0.6336	1358470
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	7.04429	0.40804	874259
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	1.22472	0.07094	220206
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.15921	0.06715	152859
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.08132	0.06264	162087
