#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan GCT-15117855Week-24_S166_L001_R1_001.fastq.gz,GCT-15117855Week-24_S166_L001_R2_001.fastq.gz --bowtie2out GCT-15117855Week-24_S166_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o GCT-15117855Week-24_S166_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:9393772
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	3.12257	9393772
k__Bacteria|p__Firmicutes	2|1239	90.04354	2.81167	8090142
k__Bacteria|p__Bacteroidetes	2|976	6.93544	0.21656	1063684
k__Bacteria|p__Actinobacteria	2|201174	2.9576	0.09235	235432
k__Bacteria|p__Proteobacteria	2|1224	0.06343	0.00198	4514
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	68.79976	2.14832	6499013
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	19.65555	0.61376	1474430
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	6.93544	0.21656	1063684
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	1.89333	0.05912	136036
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.06427	0.03323	99396
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.76344	0.02384	57073
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.37566	0.01173	22840
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.23515	0.00734	20670
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.12005	0.00375	8211
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.05865	0.00183	4157
k__Bacteria|p__Firmicutes|c__CFGB76106	2|1239|	0.03957	0.00124	3406
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.02844	0.00089	2259
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.0142	0.00044	1369
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.00854	0.00027	573
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.00477	0.00015	357
k__Bacteria|p__Firmicutes|c__CFGB76046	2|1239|	0.00208	6e-05	173
k__Bacteria|p__Firmicutes|c__CFGB1260	2|1239|	0.00111	3e-05	125
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	67.99336	2.12314	6435469
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	19.65555	0.61376	1474430
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	6.93544	0.21656	1063684
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	1.89156	0.05907	135866
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.06427	0.03323	99396
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.7536	0.02353	56462
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.43834	0.01369	33802
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.37566	0.01173	22840
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.36807	0.01149	29742
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.23515	0.00734	20670
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.12005	0.00375	8211
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.05865	0.00183	4157
k__Bacteria|p__Firmicutes|c__CFGB76106|o__OFGB76106	2|1239||	0.03957	0.00124	3406
k__Bacteria|p__Firmicutes|c__CFGB28775|o__OFGB28775	2|1239||	0.02844	0.00089	2259
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	0.0142	0.00044	1369
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.00983	0.00031	611
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	2|1239||	0.00854	0.00027	573
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.00477	0.00015	357
k__Bacteria|p__Firmicutes|c__CFGB76046|o__OFGB76046	2|1239||	0.00208	6e-05	173
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.00177	6e-05	170
k__Bacteria|p__Firmicutes|c__CFGB1260|o__OFGB1260	2|1239||	0.00111	3e-05	125
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	50.56163	1.57882	4785989
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	19.60958	0.61232	1470469
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	14.56689	0.45486	1398570
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	6.35611	0.19847	1017406
