#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan GHG-15219429Week-4_S280_L002_R1_001.fastq.gz,GHG-15219429Week-4_S280_L002_R2_001.fastq.gz --bowtie2out GHG-15219429Week-4_S280_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o GHG-15219429Week-4_S280_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3332207
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.27753	3332207
k__Bacteria|p__Firmicutes	2|1239	65.37846	0.83523	2347031
k__Bacteria|p__Actinobacteria	2|201174	26.3425	0.33653	732772
k__Bacteria|p__Bacteroidetes	2|976	8.04229	0.10274	247106
k__Bacteria|p__Bacteria_unclassified	2|	0.23675	0.00302	5298
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	57.69151	0.73702	2124662
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	20.42606	0.26095	566083
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	7.61027	0.09722	231919
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.95013	0.07601	180229
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.91644	0.07558	166689
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.14507	0.01463	24784
k__Bacteria|p__Bacteroidetes|c__CFGB629	2|976|	0.43201	0.00552	15187
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.21833	0.00279	4803
k__Bacteria|p__Firmicutes|c__CFGB9581	2|1239|	0.17655	0.00226	5323
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.17634	0.00225	5705
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.11649	0.00149	2373
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.06238	0.0008	1741
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.05998	0.00077	2214
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.01843	0.00024	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	56.09252	0.7166	2071800
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	19.8938	0.25415	549155
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	7.61027	0.09722	231919
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	5.95013	0.07601	180229
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	5.59334	0.07146	153278
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.59786	0.02041	52825
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.14507	0.01463	24784
k__Bacteria|p__Bacteroidetes|c__CFGB629|o__OFGB629	2|976||	0.43201	0.00552	15187
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.3231	0.00413	13411
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	0.21833	0.00279	4803
k__Bacteria|p__Firmicutes|c__CFGB9581|o__OFGB9581	2|1239||	0.17655	0.00226	5323
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473	2|1239||	0.11649	0.00149	2373
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.11333	0.00145	3343
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.063	0.0008	2362
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.06238	0.0008	1741
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.05998	0.00077	2214
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	2|201174||	0.01843	0.00024	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.00113	1e-05	37
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	43.62452	0.55731	1696443
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	19.8938	0.25415	549155
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	8.62685	0.11021	240966
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	6.69952	0.08559	181125
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	5.92312	0.07567	179432
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	5.35098	0.06836	146186
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	1.66087	0.02122	49720
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	1.59786	0.02041	52825
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	1.14507	0.01463	24784
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.5573	0.00712	37942
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae	2|201174|1760|85006|145360	0.53226	0.0068	16928
k__Bacteria|p__Bacteroidetes|c__CFGB629|o__OFGB629|f__FGB629	2|976|||	0.43201	0.00552	15187
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.3231	0.00413	13411
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	0.26989	0.00345	8863
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0.24237	0.0031	7092
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.23377	0.00299	6890
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763|f__FGB76763	2||||	0.21833	0.00279	4803
k__Bacteria|p__Firmicutes|c__CFGB9581|o__OFGB9581|f__FGB9581	2|1239|||	0.17655	0.00226	5323
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	0.13521	0.00173	4011
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473|f__FGB1473	2|1239|||	0.11649	0.00149	2373
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.11333	0.00145	3343
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	0.06842	0.00087	2834
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2|1239|909932|909929|1843491	0.063	0.0008	2362
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070|f__FGB3070	2|1239|||	0.06238	0.0008	1741
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.05998	0.00077	2214
