#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan HEK-15113434W0_S162_L001_R1_001.fastq.gz,HEK-15113434W0_S162_L001_R2_001.fastq.gz --bowtie2out HEK-15113434W0_S162_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o HEK-15113434W0_S162_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:12834775
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.94462	4.39843	12804798
k__Eukaryota	2759	0.05538	0.00244	29977
k__Bacteria|p__Firmicutes	2|1239	85.98625	3.78414	11440822
k__Bacteria|p__Actinobacteria	2|201174	13.82905	0.6086	1344692
k__Bacteria|p__Bacteroidetes	2|976	0.12498	0.0055	18751
k__Eukaryota|p__Ascomycota	2759|4890	0.05538	0.00244	29977
k__Bacteria|p__Verrucomicrobia	2|74201	0.00434	0.00019	533
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	82.19309	3.61721	10944967
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	5.98979	0.2636	577623
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.55666	0.20053	464870
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.2826	0.14446	302199
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	1.80942	0.07963	291225
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.72957	0.03211	106499
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.68131	0.02998	53141
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.48251	0.02123	33863
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.12498	0.0055	18751
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	0.05538	0.00244	29977
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.04456	0.00196	6032
k__Bacteria|p__Firmicutes|c__CFGB1249	2|1239|	0.04212	0.00185	4551
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.00434	0.00019	533
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.00368	0.00016	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	82.19309	3.61721	10944967
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	5.98979	0.2636	577623
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	3.40396	0.1498	320525
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	3.28093	0.14439	301973
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	1.80942	0.07963	291225
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.1527	0.05073	144345
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.72957	0.03211	106499
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.67522	0.02972	52599
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473	2|1239||	0.48251	0.02123	33863
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.12498	0.0055	18751
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	2759|4890|4891|4892	0.05538	0.00244	29977
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.04456	0.00196	6032
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249	2|1239||	0.04212	0.00185	4551
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.00609	0.00027	542
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.00434	0.00019	533
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2|1224||	0.00368	0.00016	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.00167	7e-05	226
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	72.86477	3.20668	9854852
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	6.02635	0.26521	670924
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107|f__FGB12107	2|201174|||	5.98979	0.2636	577623
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	3.40396	0.1498	320525
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	3.28093	0.14439	301973
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718|f__FGB9718	2|1239|||	1.80942	0.07963	291225
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	1.1527	0.05073	144345
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.65631	0.02888	97602
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	0.65336	0.02875	69626
