#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan JAB-15154033Week-0_S36_L001_R1_001.fastq.gz,JAB-15154033Week-0_S36_L001_R2_001.fastq.gz --bowtie2out JAB-15154033Week-0_S36_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o JAB-15154033Week-0_S36_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:14795885
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.55178	5.61429	14751878
k__Archaea	2157	0.44822	0.02528	44007
k__Bacteria|p__Firmicutes	2|1239	68.21136	3.84682	10843481
k__Bacteria|p__Actinobacteria	2|201174	30.4042	1.71467	3714642
k__Bacteria|p__Bacteroidetes	2|976	0.78016	0.044	169000
k__Archaea|p__Euryarchaeota	2157|28890	0.44822	0.02528	44007
k__Bacteria|p__Proteobacteria	2|1224	0.15606	0.0088	24755
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	57.53143	3.24452	9484347
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	20.56131	1.15957	2476385
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	9.56451	0.5394	1206280
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.12556	0.11987	263838
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	1.76467	0.09952	207322
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.56739	0.08839	221294
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.28367	0.07239	160669
k__Bacteria|p__Firmicutes|c__CFGB10312	2|1239|	0.93312	0.05262	67527
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	0.87821	0.04953	104885
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.63365	0.03574	103258
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.44822	0.02528	44007
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.44687	0.0252	101912
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.35533	0.02004	61617
k__Bacteria|p__Bacteroidetes|c__CFGB658	2|976|	0.2846	0.01605	58924
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.28332	0.01598	51582
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.27838	0.0157	31977
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.20185	0.01138	30660
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.16719	0.00943	20895
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.09849	0.00555	19153
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.07091	0.004	10914
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.0545	0.00307	11598
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.04862	0.00274	7175
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.04031	0.00227	4008
k__Bacteria|p__Firmicutes|c__CFGB9581	2|1239|	0.03729	0.0021	4962
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.03653	0.00206	6666
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.02816	0.00159	5808
k__Bacteria|p__Firmicutes|c__CFGB76191	2|1239|	0.02333	0.00132	0
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.01307	0.00074	1635
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	0.01291	0.00073	1919
k__Bacteria|p__Bacteroidetes|c__CFGB629	2|976|	0.01244	0.0007	1930
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.01231	0.00069	1372
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.00338	0.00019	508
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.00068	4e-05	89
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	55.55779	3.13322	9196621
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	20.16014	1.13694	2420008
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	8.77821	0.49505	1094278
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.12556	0.11987	263838
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.92691	0.10867	281227
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	1.76467	0.09952	207322
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.28367	0.07239	160669
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.22778	0.06924	169043
k__Bacteria|p__Firmicutes|c__CFGB10312|o__OFGB10312	2|1239||	0.93312	0.05262	67527
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	0.87821	0.04953	104885
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.7863	0.04434	112002
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.63365	0.03574	103258
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.44822	0.02528	44007
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.44687	0.0252	101912
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.35533	0.02004	61617
k__Bacteria|p__Bacteroidetes|c__CFGB658|o__OFGB658	2|976||	0.2846	0.01605	58924
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.28332	0.01598	51582
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.27838	0.0157	31977
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.22743	0.01283	37645
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	0.20185	0.01138	30660
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.16719	0.00943	20895
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.11217	0.00633	14606
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.09849	0.00555	19153
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.05983	0.00337	7866
