#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan JBD-15166554Week-4_S22_L002_R1_001.fastq.gz,JBD-15166554Week-4_S22_L002_R2_001.fastq.gz --bowtie2out JBD-15166554Week-4_S22_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o JBD-15166554Week-4_S22_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:10589739
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.94243	3.01537	10533539
k__Archaea	2157	1.05757	0.03223	56200
k__Bacteria|p__Firmicutes	2|1239	54.99295	1.67596	4707616
k__Bacteria|p__Proteobacteria	2|1224	36.86559	1.12351	5268902
k__Bacteria|p__Bacteroidetes	2|976	3.89649	0.11875	346024
k__Bacteria|p__Actinobacteria	2|201174	2.19352	0.06685	152473
k__Archaea|p__Euryarchaeota	2157|28890	1.05757	0.03223	56200
k__Bacteria|p__Bacteria_unclassified	2|	0.94346	0.02875	53869
k__Bacteria|p__Verrucomicrobia	2|74201	0.05044	0.00154	4655
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	46.96917	1.43143	4050365
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	34.89606	1.06349	5076228
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.70929	0.11304	326755
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.17601	0.06632	151280
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	2.02932	0.06185	199462
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	1.96953	0.06002	192674
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.85129	0.05642	136174
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	1.5148	0.04616	91290
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.05757	0.03223	56200
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.80423	0.02451	71232
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.7233	0.02204	61688
k__Bacteria|p__Bacteria_unclassified|c__CFGB2987	2||	0.48889	0.0149	27516
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.39722	0.01211	0
k__Bacteria|p__Bacteroidetes|c__CFGB642	2|976|	0.1872	0.00571	19269
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.18064	0.00551	14344
k__Bacteria|p__Firmicutes|c__CFGB8140	2|1239|	0.15936	0.00486	16607
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.1205	0.00367	11720
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.10264	0.00313	11439
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	0.0939	0.00286	8380
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.08262	0.00252	5837
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.07982	0.00243	6401
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.05736	0.00175	3028
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.05044	0.00154	4655
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.04945	0.00151	4254
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.03915	0.00119	3447
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.01751	0.00053	1193
k__Bacteria|p__Firmicutes|c__CFGB76016	2|1239|	0.01654	0.0005	1409
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.0114	0.00035	896
k__Bacteria|p__Firmicutes|c__CFGB10314	2|1239|	0.00862	0.00026	355
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.0075	0.00023	750
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.00548	0.00017	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	42.31891	1.28971	3683987
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	34.81091	1.0609	5069343
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	4.63312	0.1412	365394
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.70929	0.11304	326755
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	2.02932	0.06185	199462
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	2|1224|28211|204457	1.96953	0.06002	192674
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.85129	0.05642	136174
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.8096	0.05515	129088
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	1.5148	0.04616	91290
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.05757	0.03223	56200
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.80423	0.02451	71232
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.7233	0.02204	61688
k__Bacteria|p__Bacteria_unclassified|c__CFGB2987|o__OFGB2987	2|||	0.48889	0.0149	27516
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	2|201174||	0.39722	0.01211	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.36641	0.01117	22192
k__Bacteria|p__Bacteroidetes|c__CFGB642|o__OFGB642	2|976||	0.1872	0.00571	19269
k__Bacteria|p__Firmicutes|c__CFGB8140|o__OFGB8140	2|1239||	0.15936	0.00486	16607
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.1205	0.00367	11720
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.10264	0.00313	11439
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926	2|1239||	0.0939	0.00286	8380
