#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan JEL-15081990Week-4_S177_L001_R1_001.fastq.gz,JEL-15081990Week-4_S177_L001_R2_001.fastq.gz --bowtie2out JEL-15081990Week-4_S177_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o JEL-15081990Week-4_S177_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:13422768
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	4.56906	13422768
k__Bacteria|p__Firmicutes	2|1239	92.86198	4.24292	12250367
k__Bacteria|p__Actinobacteria	2|201174	2.91711	0.13328	380970
k__Bacteria|p__Bacteroidetes	2|976	2.08009	0.09504	517365
k__Bacteria|p__Proteobacteria	2|1224	1.68617	0.07704	214439
k__Bacteria|p__Synergistetes	2|508458	0.45465	0.02077	59627
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	77.29305	3.53157	10257003
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	9.50462	0.43427	1221829
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	2.92248	0.13353	385841
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.90978	0.13295	379983
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.08009	0.09504	517365
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.04716	0.04785	110469
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.81864	0.0374	122828
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.61314	0.02801	69419
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.4792	0.0219	61274
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.45465	0.02077	59627
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.33772	0.01543	56433
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.24132	0.01103	33918
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.23284	0.01064	34425
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.07156	0.00327	7162
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.06229	0.00285	7241
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.06083	0.00278	5981
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.01368	0.00062	1497
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.00733	0.00033	987
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	76.64888	3.50213	10187146
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	9.50462	0.43427	1221829
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	2.92248	0.13353	385841
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	2.90978	0.13295	379983
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	2.08009	0.09504	517365
