#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan JEV-15138348Week-24_S61_L002_R1_001.fastq.gz,JEV-15138348Week-24_S61_L002_R2_001.fastq.gz --bowtie2out JEV-15138348Week-24_S61_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o JEV-15138348Week-24_S61_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:6384754
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.39	6384754
k__Bacteria|p__Firmicutes	2|1239	75.25097	1.7985	4987988
k__Bacteria|p__Actinobacteria	2|201174	22.97681	0.54915	1217639
k__Bacteria|p__Bacteroidetes	2|976	1.77222	0.04236	179127
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	64.80603	1.54886	4450460
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	15.92204	0.38054	860411
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	7.08305	0.16929	370661
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.95379	0.1662	353260
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	2.66183	0.06362	132530
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	1.42363	0.03402	153267
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.5012	0.01198	24241
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.34859	0.00833	25860
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.12185	0.00291	4644
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.03942	0.00094	3445
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.03441	0.00082	1808
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.00171	4e-05	125
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.00147	4e-05	74
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	64.798	1.54867	4449964
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	15.92204	0.38054	860411
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	7.08305	0.16929	370661
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	6.93023	0.16563	351707
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	2.66183	0.06362	132530
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	1.42363	0.03402	153267
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.5012	0.01198	24241
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.34859	0.00833	25860
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473	2|1239||	0.12185	0.00291	4644
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.03942	0.00094	3445
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.03441	0.00082	1808
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.02356	0.00056	1553
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.00803	0.00019	496
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.00171	4e-05	125
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.00147	4e-05	74
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	53.58014	1.28057	3828913
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	15.92204	0.38054	860411
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	8.06535	0.19276	416218
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	6.93023	0.16563	351707
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	2|1239|526524|526525|2810280	5.76313	0.13774	302344
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936|f__FGB14936	2|1239|||	2.66183	0.06362	132530
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	1.37783	0.03293	149627
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	1.31992	0.03155	68317
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	1.22732	0.02933	78885
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.49763	0.01189	24081
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.41812	0.00999	18961
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	2|976|117743|200644|49546	0.34859	0.00833	25860
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	0.28972	0.00692	18258
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473|f__FGB1473	2|1239|||	0.12185	0.00291	4644
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718|f__FGB9718	2|1239|||	0.03942	0.00094	3445
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783|f__FGB76783	2|1239|||	0.03441	0.00082	1808
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0.03334	0.0008	2532
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.02356	0.00056	1553
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	0.01246	0.0003	1108
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	0.00803	0.00019	496
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	2|1239|91061|186826|186828	0.00358	9e-05	160
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068	2|1239|||	0.00171	4e-05	125
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.00147	4e-05	74
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2|201174|1760|85004|31953|1678	15.92204	0.38054	860411
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia	2|1239|186801|186802|186803|572511	15.41719	0.36847	1224246
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	2|1239|186801|186802|186803|	13.15215	0.31434	891939
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Fusicatenibacter	2|1239|186801|186802|186803|1407607	8.85435	0.21162	621422
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus	2|1239|186801|186802|216572|1263	7.21281	0.17239	366589
