#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan JFG-15055647Week-24_S184_L001_R1_001.fastq.gz,JFG-15055647Week-24_S184_L001_R2_001.fastq.gz --bowtie2out JFG-15055647Week-24_S184_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o JFG-15055647Week-24_S184_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:6566456
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.60881	6566456
k__Bacteria|p__Actinobacteria	2|201174	54.64386	1.42555	3033260
k__Bacteria|p__Firmicutes	2|1239	33.39588	0.87124	2509152
k__Bacteria|p__Bacteroidetes	2|976	11.77837	0.30728	1012258
k__Bacteria|p__Proteobacteria	2|1224	0.16622	0.00434	10897
k__Bacteria|p__Fusobacteria	2|32066	0.01567	0.00041	889
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	39.26585	1.02437	2181419
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	31.67399	0.82631	2394937
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	15.37801	0.40118	851841
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	11.77837	0.30728	1012258
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.7451	0.01944	42435
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.55746	0.01454	40298
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.40152	0.01047	30320
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.15128	0.00395	9158
k__Bacteria|p__Fusobacteria|c__CFGB76375	2|32066|	0.01567	0.00041	889
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.01004	0.00026	563
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.00833	0.00022	1059
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00661	0.00017	680
