#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan JIO-15049167Week-24_S204_L001_R1_001.fastq.gz,JIO-15049167Week-24_S204_L001_R2_001.fastq.gz --bowtie2out JIO-15049167Week-24_S204_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o JIO-15049167Week-24_S204_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:21231461
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	8.06603	21231461
k__Bacteria|p__Firmicutes	2|1239	74.92704	6.04364	16300853
k__Bacteria|p__Actinobacteria	2|201174	17.29451	1.39498	3065557
k__Bacteria|p__Bacteroidetes	2|976	5.20899	0.42016	1266941
k__Bacteria|p__Verrucomicrobia	2|74201	2.31849	0.18701	521498
k__Bacteria|p__Proteobacteria	2|1224	0.25098	0.02024	76612
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	66.08124	5.33013	14568024
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	12.19532	0.98368	2147361
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	5.20899	0.42016	1266941
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.75533	0.38357	861704
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.98225	0.32121	683046
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.31849	0.18701	521498
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	1.20459	0.09716	213695
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.02227	0.08246	226248
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.8444	0.06811	219769
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.7295	0.05884	171823
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.34385	0.02774	56492
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.24179	0.0195	56353
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.1709	0.01379	54864
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.16289	0.01314	25982
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.09303	0.0075	23013
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.07867	0.00635	21301
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.06549	0.00528	12410
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.02658	0.00214	7040
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.02301	0.00186	0
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.01951	0.00157	4688
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.01892	0.00153	3384
k__Bacteria|p__Firmicutes|c__CFGB76388	2|1239|	0.01804	0.00145	2716
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.01653	0.00133	3864
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.01223	0.00099	2044
k__Bacteria|p__Firmicutes|c__CFGB2957	2|1239|	0.01	0.00081	1701
k__Bacteria|p__Firmicutes|c__CFGB76016	2|1239|	0.00597	0.00048	1345
k__Bacteria|p__Firmicutes|c__CFGB75922	2|1239|	0.0042	0.00034	1365
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00414	0.00033	588
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.00401	0.00032	796
k__Bacteria|p__Firmicutes|c__CFGB9238	2|1239|	0.00228	0.00018	551
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00141	0.00011	447
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	60.56766	4.88541	13425829
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	12.19532	0.98368	2147361
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	5.20899	0.42016	1266941
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	4.98601	0.40217	1040861
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	4.45638	0.35945	790625
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.98225	0.32121	683046
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	2.31849	0.18701	521498
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	1.20459	0.09716	213695
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.02227	0.08246	226248
