#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan JKM-15281736Week-4_S26_L002_R1_001.fastq.gz,JKM-15281736Week-4_S26_L002_R2_001.fastq.gz --bowtie2out JKM-15281736Week-4_S26_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o JKM-15281736Week-4_S26_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:16969736
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	6.68932	16969736
k__Bacteria|p__Firmicutes	2|1239	70.28537	4.70161	11825640
k__Bacteria|p__Actinobacteria	2|201174	19.77648	1.32291	2905819
k__Bacteria|p__Bacteroidetes	2|976	4.91208	0.32858	1368036
k__Bacteria|p__Verrucomicrobia	2|74201	2.51001	0.1679	468215
k__Bacteria|p__Bacteria_unclassified	2|	1.69377	0.1133	221403
k__Bacteria|p__Proteobacteria	2|1224	0.77898	0.05211	171000
k__Bacteria|p__Synergistetes	2|508458	0.02895	0.00194	5682
k__Bacteria|p__Lentisphaerae	2|256845	0.01067	0.00071	3316
k__Bacteria|p__Fusobacteria	2|32066	0.0037	0.00025	625
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	58.2169	3.89431	9827842
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	10.00398	0.6692	1470887
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	8.96064	0.59941	1324317
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	4.85777	0.32495	1359665
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.51001	0.1679	468215
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	2.45389	0.16415	361022
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	2.07227	0.13862	307492
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	1.69377	0.1133	0
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	1.61041	0.10773	0
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	1.09682	0.07337	145089
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.81185	0.05431	110615
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.7747	0.05182	164284
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.60896	0.04074	142045
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.58522	0.03915	91085
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.49541	0.03314	74274
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.38384	0.02568	78985
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.19746	0.01321	27762
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.17605	0.01178	31720
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.17305	0.01158	18204
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.14214	0.00951	20777
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.10038	0.00671	16718
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.09164	0.00613	17640
k__Bacteria|p__Firmicutes|c__CFGB1213	2|1239|	0.09065	0.00606	18293
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.08132	0.00544	13203
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.08129	0.00544	17484
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.07838	0.00524	11315
k__Bacteria|p__Firmicutes|c__CFGB1201	2|1239|	0.04804	0.00321	8497
k__Bacteria|p__Firmicutes|c__CFGB2942	2|1239|	0.03563	0.00238	5411
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	2|976|117747	0.03375	0.00226	5826
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.02973	0.00199	4468
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.02895	0.00194	5682
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.02786	0.00186	5511
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.02211	0.00148	3899
k__Bacteria|p__Bacteroidetes|c__CFGB618	2|976|	0.02057	0.00138	2545
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.01848	0.00124	2453
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.01568	0.00105	3126
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.01067	0.00071	3316
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.00999	0.00067	2238
