#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan JLH-15180468Week-4_S215_L002_R1_001.fastq.gz,JLH-15180468Week-4_S215_L002_R2_001.fastq.gz --bowtie2out JLH-15180468Week-4_S215_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o JLH-15180468Week-4_S215_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:6755773
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.10988	6755773
k__Bacteria|p__Firmicutes	2|1239	93.73634	1.97773	6419645
k__Bacteria|p__Actinobacteria	2|201174	5.72396	0.12077	278294
k__Bacteria|p__Bacteroidetes	2|976	0.31164	0.00658	34365
k__Bacteria|p__Proteobacteria	2|1224	0.22806	0.00481	23469
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	89.30409	1.88421	6160999
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.19934	0.1097	252824
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.32945	0.04915	128155
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.92305	0.04057	119600
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.52462	0.01107	25470
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.31164	0.00658	34365
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.22806	0.00481	23469
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.0761	0.00161	4957
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.02942	0.00062	1408
k__Bacteria|p__Firmicutes|c__CFGB8822	2|1239|	0.0211	0.00045	1406
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.01496	0.00032	738
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	89.30409	1.88421	6160999
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	4.76443	0.10052	225987
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	2.32945	0.04915	128155
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.92305	0.04057	119600
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.52266	0.01103	25366
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.43492	0.00918	26837
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.31164	0.00658	34365
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.22806	0.00481	23469
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	0.0761	0.00161	4957
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.02942	0.00062	1408
k__Bacteria|p__Firmicutes|c__CFGB8822|o__OFGB8822	2|1239||	0.0211	0.00045	1406
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.01496	0.00032	738
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	0.00196	4e-05	104
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	77.86282	1.64282	5631415
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	10.71011	0.22597	490327
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	4.76443	0.10052	225987
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	2.32945	0.04915	128155
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	1.92305	0.04057	119600
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.52266	0.01103	25366
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.43492	0.00918	26837
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.30387	0.00641	33582
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	0.22806	0.00481	23469
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	0.18893	0.00399	8653
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	0.10602	0.00224	7069
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012	2|1239|||	0.0761	0.00161	4957
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227	2|1239|||	0.02942	0.00062	1408
