#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan JMC-10015825Week-4_S28_L001_R1_001.fastq.gz,JMC-10015825Week-4_S28_L001_R2_001.fastq.gz --bowtie2out JMC-10015825Week-4_S28_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o JMC-10015825Week-4_S28_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:13026947
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	95.72362	4.4927	12676972
k__Archaea	2157	4.27638	0.20071	349975
k__Bacteria|p__Firmicutes	2|1239	77.50285	3.63752	10510767
k__Bacteria|p__Actinobacteria	2|201174	12.68668	0.59544	1292672
k__Bacteria|p__Bacteroidetes	2|976	5.18005	0.24312	823170
k__Archaea|p__Euryarchaeota	2157|28890	4.27638	0.20071	349975
k__Bacteria|p__Proteobacteria	2|1224	0.25241	0.01185	38705
k__Bacteria|p__Verrucomicrobia	2|74201	0.0688	0.00323	9004
k__Bacteria|p__Bacteria_unclassified	2|	0.03284	0.00154	2654
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	63.03343	2.95841	8848914
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	8.51675	0.39973	865390
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	4.78455	0.22456	777759
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	4.27638	0.20071	349975
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	3.20971	0.15064	333367
k__Bacteria|p__Firmicutes|c__CFGB4806	2|1239|	2.49975	0.11732	248456
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.99995	0.09387	260373
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.90731	0.08952	180175
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	1.57975	0.07414	217123
k__Bacteria|p__Firmicutes|c__CFGB76769	2|1239|	1.2215	0.05733	154142
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.59497	0.02792	56877
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.51699	0.02426	59856
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.32592	0.0153	41202
k__Bacteria|p__Firmicutes|c__CFGB1670	2|1239|	0.31392	0.01473	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.24494	0.0115	37477
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.20787	0.00976	21923
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.18791	0.00882	17588
k__Bacteria|p__Firmicutes|c__CFGB76465	2|1239|	0.15119	0.0071	17222
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.10254	0.00481	0
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.09577	0.0045	12690
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.08488	0.00398	11871
k__Bacteria|p__Bacteroidetes|c__CFGB4405	2|976|	0.08157	0.00383	10092
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.0688	0.00323	9004
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.04806	0.00226	7807
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.04801	0.00225	4924
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.03347	0.00157	4539
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.03284	0.00154	2654
k__Bacteria|p__Firmicutes|c__CFGB15209	2|1239|	0.02694	0.00126	2802
k__Bacteria|p__Firmicutes|c__CFGB1262	2|1239|	0.02185	0.00103	2125
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.00924	0.00043	1585
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.00839	0.00039	889
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00387	0.00018	791
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.0036	0.00017	437
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.00118	6e-05	136
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	59.31624	2.78395	8397187
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	8.04519	0.37759	814115
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	4.78455	0.22456	777759
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	4.27638	0.20071	349975
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	3.47291	0.163	421870
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	3.16927	0.14875	328012
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	2.49975	0.11732	248456
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.99995	0.09387	260373
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.85014	0.08683	172300
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926	2|1239||	1.57975	0.07414	217123
k__Bacteria|p__Firmicutes|c__CFGB76769|o__OFGB76769	2|1239||	1.2215	0.05733	154142
k__Bacteria|p__Actinobacteria|c__CFGB12107|o__OFGB12107	2|201174||	0.59497	0.02792	56877
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.51699	0.02426	59856
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.47157	0.02213	51275
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	0.32592	0.0153	41202
k__Bacteria|p__Firmicutes|c__CFGB1670|o__OFGB1670	2|1239||	0.31392	0.01473	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.24428	0.01146	29857
k__Bacteria|p__Firmicutes|c__CFGB2960|o__OFGB2960	2|1239||	0.20787	0.00976	21923
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.18791	0.00882	17588
k__Bacteria|p__Firmicutes|c__CFGB76465|o__OFGB76465	2|1239||	0.15119	0.0071	17222
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.13647	0.00641	25609
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.10847	0.00509	11868
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069	2|1224||	0.10254	0.00481	0
k__Bacteria|p__Firmicutes|c__CFGB3529|o__OFGB3529	2|1239||	0.09577	0.0045	12690
k__Bacteria|p__Firmicutes|c__CFGB75721|o__OFGB75721	2|1239||	0.08488	0.00398	11871
k__Bacteria|p__Bacteroidetes|c__CFGB4405|o__OFGB4405	2|976||	0.08157	0.00383	10092
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.0688	0.00323	9004
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.05717	0.00268	7875
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048	2|1239||	0.04806	0.00226	7807
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.04801	0.00225	4924
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.04044	0.0019	5355
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.03347	0.00157	4539
