#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan JRR-15079074Week-4_S6_L002_R1_001.fastq.gz,JRR-15079074Week-4_S6_L002_R2_001.fastq.gz --bowtie2out JRR-15079074Week-4_S6_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o JRR-15079074Week-4_S6_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8000985
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.55307	2.94584	7977925
k__Archaea	2157	0.44693	0.01322	23060
k__Bacteria|p__Firmicutes	2|1239	87.40465	2.58636	7202744
k__Bacteria|p__Actinobacteria	2|201174	10.55466	0.31232	664114
k__Bacteria|p__Bacteroidetes	2|976	0.69353	0.02052	48821
k__Bacteria|p__Bacteria_unclassified	2|	0.65296	0.01932	35224
k__Archaea|p__Euryarchaeota	2157|28890	0.44693	0.01322	23060
k__Bacteria|p__Proteobacteria	2|1224	0.17372	0.00514	20953
k__Bacteria|p__Verrucomicrobia	2|74201	0.07356	0.00218	6069
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	66.50127	1.96781	5767623
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	13.48415	0.399	951547
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	7.66744	0.22688	467590
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	4.07468	0.12057	245809
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.88721	0.08543	196524
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.93286	0.0276	57505
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.79263	0.02345	68045
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.69353	0.02052	48821
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.65296	0.01932	35224
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.54136	0.01602	34291
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.44811	0.01326	19909
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.44693	0.01322	23060
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.21917	0.00649	20951
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.17331	0.00513	20926
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.12435	0.00368	9910
k__Bacteria|p__Firmicutes|c__CFGB45503	2|1239|	0.10825	0.0032	10189
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.09705	0.00287	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.07356	0.00218	6069
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.04517	0.00134	4888
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	0.01909	0.00056	1654
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.01232	0.00036	801
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.00421	0.00012	276
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.0004	1e-05	27
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	65.513	1.93857	5691947
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	13.48415	0.399	951547
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	4.54623	0.13453	293931
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	3.8413	0.11367	225541
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	3.12121	0.09236	173659
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	2.88178	0.08527	196153
