#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan JRS-15230589Week-24_S262_L002_R1_001.fastq.gz,JRS-15230589Week-24_S262_L002_R2_001.fastq.gz --bowtie2out JRS-15230589Week-24_S262_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o JRS-15230589Week-24_S262_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8755570
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	3.13204	8755570
k__Bacteria|p__Firmicutes	2|1239	88.31102	2.76594	7720400
k__Bacteria|p__Actinobacteria	2|201174	8.09642	0.25358	575812
k__Bacteria|p__Bacteroidetes	2|976	3.59256	0.11252	459358
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	76.84563	2.40684	6922295
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	7.95027	0.24901	568183
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	6.86972	0.21516	479324
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	3.37096	0.10558	219947
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.73636	0.0857	376118
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.8562	0.02682	83240
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.64701	0.02026	58555
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.18249	0.00572	11540
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.15659	0.0049	7820
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.12321	0.00386	11784
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.04472	0.0014	3080
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.03155	0.00099	2086
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.03049	0.00095	3492
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.00864	0.00027	477
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.00299	9e-05	256
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	76.65221	2.40078	6907279
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	7.81767	0.24485	556159
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	6.86972	0.21516	479324
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	3.37096	0.10558	219947
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	2.73636	0.0857	376118
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	0.8562	0.02682	83240
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.64701	0.02026	58555
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.19342	0.00606	15016
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.18249	0.00572	11540
k__Bacteria|p__Firmicutes|c__CFGB1473|o__OFGB1473	2|1239||	0.15659	0.0049	7820
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.1326	0.00415	12024
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.12321	0.00386	11784
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.04472	0.0014	3080
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.03155	0.00099	2086
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.03049	0.00095	3492
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.00864	0.00027	477
