#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan JSP-15088731Week-24_S32_L002_R1_001.fastq.gz,JSP-15088731Week-24_S32_L002_R2_001.fastq.gz --bowtie2out JSP-15088731Week-24_S32_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o JSP-15088731Week-24_S32_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:5684816
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.9265	5684816
k__Bacteria|p__Firmicutes	2|1239	97.14995	1.87159	5527742
k__Bacteria|p__Actinobacteria	2|201174	2.50304	0.04822	123945
k__Bacteria|p__Bacteroidetes	2|976	0.34702	0.00669	33129
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	94.43179	1.81923	5420894
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.70411	0.03283	88442
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.53786	0.02963	55123
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.79893	0.01539	35503
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.55984	0.01079	21400
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.34702	0.00669	33129
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.19038	0.00367	12525
k__Bacteria|p__Firmicutes|c__CFGB1473	2|1239|	0.16478	0.00317	5062
k__Bacteria|p__Firmicutes|c__CFGB28775	2|1239|	0.143	0.00275	7009
k__Bacteria|p__Firmicutes|c__CFGB1507	2|1239|	0.08577	0.00165	3556
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.03653	0.0007	2173
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	84.64724	1.63073	4933077
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	9.6729	0.18635	482232
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.53786	0.02963	55123
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.10259	0.02124	51884
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	0.76146	0.01467	33683
