#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan KC-15109240Week-0_S220_L001_R1_001.fastq.gz,KC-15109240Week-0_S220_L001_R2_001.fastq.gz --bowtie2out KC-15109240Week-0_S220_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o KC-15109240Week-0_S220_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:18717360
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	6.15024	18717360
k__Bacteria|p__Firmicutes	2|1239	86.1836	5.3005	16867675
k__Bacteria|p__Actinobacteria	2|201174	13.79152	0.84821	1841232
k__Bacteria|p__Bacteroidetes	2|976	0.02021	0.00124	7051
k__Bacteria|p__Proteobacteria	2|1224	0.00468	0.00029	1402
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	82.77915	5.09112	16407526
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	11.82926	0.72753	1464418
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.28651	0.14063	254215
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.96226	0.12068	376814
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.87533	0.05383	159043
k__Bacteria|p__Firmicutes|c__CFGB8822	2|1239|	0.22732	0.01398	44175
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.02021	0.00124	7051
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.01529	0.00094	2716
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.00468	0.00029	1402
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	81.82242	5.03228	16255446
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	11.82284	0.72713	1463201
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.28651	0.14063	254215
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.69688	0.10436	334153
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.92557	0.05693	147310
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.87533	0.05383	159043
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.26538	0.01632	42661
k__Bacteria|p__Firmicutes|c__CFGB8822|o__OFGB8822	2|1239||	0.22732	0.01398	44175
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.03116	0.00192	4770
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.02021	0.00124	7051
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.01529	0.00094	2716
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.00642	0.00039	1217
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.00468	0.00029	1402
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	80.66925	4.96135	16049397
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	11.82284	0.72713	1463201
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	2.28651	0.14063	254215
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	1.69688	0.10436	334153
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	0.92557	0.05693	147310
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.87533	0.05383	159043
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	0.53524	0.03292	79586
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	0.32782	0.02016	80041
k__Bacteria|p__Firmicutes|c__CFGB8822|o__OFGB8822|f__FGB8822	2|1239|||	0.22732	0.01398	44175
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.22629	0.01392	34835
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	0.04944	0.00304	6600
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0.03909	0.0024	7826
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||	0.03116	0.00192	4770
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.02021	0.00124	7051
