#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan KCA-15218619Week-4_S157_L002_R1_001.fastq.gz,KCA-15218619Week-4_S157_L002_R2_001.fastq.gz --bowtie2out KCA-15218619Week-4_S157_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o KCA-15218619Week-4_S157_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:11500599
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	3.64532	11500599
k__Bacteria|p__Firmicutes	2|1239	96.79265	3.5284	11215041
k__Bacteria|p__Actinobacteria	2|201174	3.10828	0.11331	269043
k__Bacteria|p__Bacteroidetes	2|976	0.05535	0.00202	9681
k__Bacteria|p__Proteobacteria	2|1224	0.03495	0.00127	6472
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.00877	0.00032	362
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	89.52563	3.2635	10427070
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	4.78482	0.17442	578068
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.81979	0.10279	241124
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.67744	0.06115	124699
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.43811	0.01597	47437
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.28848	0.01052	27919
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.05535	0.00202	9681
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.03908	0.00142	5210
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.03495	0.00127	6472
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.03027	0.0011	3561
k__Bacteria|p__Firmicutes|c__CFGB14936	2|1239|	0.023	0.00084	1746
k__Bacteria|p__Firmicutes|c__CFGB3070	2|1239|	0.01883	0.00069	1500
k__Bacteria|p__Firmicutes|c__CFGB76106	2|1239|	0.0078	0.00028	784
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.00521	0.00019	197
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2|95818|2093818	0.00355	0.00013	165
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	88.22124	3.21595	10304023
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	4.78482	0.17442	578068
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	2.65006	0.0966	226011
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.65079	0.06018	122733
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.30439	0.04755	123047
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.43811	0.01597	47437
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.16973	0.00619	15113
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2|201174|1760|2037	0.15985	0.00583	14947
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.05535	0.00202	9681
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.03908	0.00142	5210
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.03495	0.00127	6472
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.03027	0.0011	3561
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.02665	0.00097	1966
k__Bacteria|p__Firmicutes|c__CFGB14936|o__OFGB14936	2|1239||	0.023	0.00084	1746
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070	2|1239||	0.01883	0.00069	1500
k__Bacteria|p__Firmicutes|c__CFGB76106|o__OFGB76106	2|1239||	0.0078	0.00028	784
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||	0.00521	0.00019	197
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Saccharimonales	2|95818|2093818|2093825	0.00355	0.00013	165
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	77.89091	2.83938	9081275
