#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan KCB-15209547Week-0_S234_L002_R1_001.fastq.gz,KCB-15209547Week-0_S234_L002_R2_001.fastq.gz --bowtie2out KCB-15209547Week-0_S234_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o KCB-15209547Week-0_S234_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:6265239
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.13448	6265239
k__Bacteria|p__Firmicutes	2|1239	78.29992	1.67129	4936459
k__Bacteria|p__Actinobacteria	2|201174	15.74395	0.33605	823644
k__Bacteria|p__Verrucomicrobia	2|74201	3.49866	0.07468	226159
k__Bacteria|p__Bacteroidetes	2|976	2.45747	0.05245	278977
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	65.91296	1.4069	4278423
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	11.46432	0.2447	566346
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	4.92004	0.10502	269594
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.27963	0.09135	257298
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	3.49866	0.07468	226159
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.45747	0.05245	278977
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.01727	0.04306	122568
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.00808	0.04286	73475
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.74724	0.01595	46087
k__Bacteria|p__Firmicutes|c__CFGB2880	2|1239|	0.66461	0.01419	29034
k__Bacteria|p__Firmicutes|c__CFGB3012	2|1239|	0.50518	0.01078	33296
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.29781	0.00636	18209
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.28973	0.00618	14039
k__Bacteria|p__Firmicutes|c__CFGB76388	2|1239|	0.27518	0.00587	10966
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.03718	0.00079	1399
k__Bacteria|p__Firmicutes|c__CFGB40183	2|1239|	0.01272	0.00027	668
k__Bacteria|p__Firmicutes|c__CFGB76779	2|1239|	0.01053	0.00022	744
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	63.96209	1.36526	4171760
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	10.65347	0.2274	523072
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	4.61644	0.09854	256736
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	3.49866	0.07468	226159
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.7033	0.0577	140840
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	2.45747	0.05245	278977
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.01727	0.04306	122568
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.00724	0.04284	73425
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.57632	0.03365	116458
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.51702	0.03238	83794
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.74724	0.01595	46087
k__Bacteria|p__Firmicutes|c__CFGB2880|o__OFGB2880	2|1239||	0.66461	0.01419	29034
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	2|1239||	0.50518	0.01078	33296
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified	2|1239|186801|	0.43385	0.00926	22869
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.3036	0.00648	12858
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.29781	0.00636	18209
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.28973	0.00618	14039
k__Bacteria|p__Firmicutes|c__CFGB76388|o__OFGB76388	2|1239||	0.27518	0.00587	10966
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.03718	0.00079	1399
k__Bacteria|p__Firmicutes|c__CFGB40183|o__OFGB40183	2|1239||	0.01272	0.00027	668
k__Bacteria|p__Firmicutes|c__CFGB76779|o__OFGB76779	2|1239||	0.01053	0.00022	744
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.00084	2e-05	50
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	56.1327	1.19814	3724114
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	10.65347	0.2274	523072
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	5.20571	0.11111	289878
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	4.61644	0.09854	256736
