#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan KEKU-15310264Week-4_S95_L002_R1_001.fastq.gz,KEKU-15310264Week-4_S95_L002_R2_001.fastq.gz --bowtie2out KEKU-15310264Week-4_S95_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o KEKU-15310264Week-4_S95_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:7090388
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.84392	7090388
k__Bacteria|p__Actinobacteria	2|201174	55.77324	1.58615	3498556
k__Bacteria|p__Firmicutes	2|1239	36.89283	1.0492	2963963
k__Bacteria|p__Bacteroidetes	2|976	4.97776	0.14156	442892
k__Bacteria|p__Verrucomicrobia	2|74201	2.05789	0.05852	163203
k__Bacteria|p__Proteobacteria	2|1224	0.19471	0.00554	15492
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.05543	0.00158	3925
k__Bacteria|p__Bacteria_unclassified	2|	0.04813	0.00137	2357
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	47.68515	1.35613	2984019
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	32.85231	0.93429	2652874
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	7.3237	0.20828	470944
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	4.56504	0.12983	414703
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.05789	0.05852	163203
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	1.1734	0.03337	0
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.15517	0.03285	79332
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.92412	0.02628	61665
k__Bacteria|p__Firmicutes|c__CFGB1670	2|1239|	0.40512	0.01152	0
k__Bacteria|p__Firmicutes|c__CFGB76352	2|1239|	0.3318	0.00944	21241
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.19471	0.00554	15492
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.16312	0.00464	10919
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.09565	0.00272	8677
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.05543	0.00158	3925
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.04813	0.00137	2357
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.04718	0.00134	4089
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.04671	0.00133	3838
k__Bacteria|p__Firmicutes|c__CFGB2863	2|1239|	0.02969	0.00084	2611
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.02938	0.00084	3055
k__Bacteria|p__Firmicutes|c__CFGB75721	2|1239|	0.02712	0.00077	2297
