#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan KHL-15211797Week-24_S152_L002_R1_001.fastq.gz,KHL-15211797Week-24_S152_L002_R2_001.fastq.gz --bowtie2out KHL-15211797Week-24_S152_L002_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o KHL-15211797Week-24_S152_L002_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:19306088
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	6.91782	19306088
k__Bacteria|p__Firmicutes	2|1239	83.6288	5.78529	15821780
k__Bacteria|p__Bacteroidetes	2|976	11.70054	0.80942	2686774
k__Bacteria|p__Actinobacteria	2|201174	2.38408	0.16493	363977
k__Bacteria|p__Verrucomicrobia	2|74201	1.31278	0.09082	275031
k__Bacteria|p__Proteobacteria	2|1224	0.94457	0.06534	153978
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.02611	0.00181	4161
k__Bacteria|p__Bacteria_unclassified	2|	0.00276	0.00019	348
k__Bacteria|p__Tenericutes	2|544448	0.00034	2e-05	39
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	59.32768	4.10418	12011790
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	10.80676	0.74759	2517016
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	6.63882	0.45926	900472
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.38623	0.37261	950559
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	2.89929	0.20057	647332
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.2834	0.15796	348289
k__Bacteria|p__Firmicutes|c__CFGB31455	2|1239|	1.61774	0.11191	161577
k__Bacteria|p__Firmicutes|c__CFGB13380	2|1239|	1.42739	0.09874	141827
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.34227	0.09286	254973
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.31278	0.09082	275031
k__Bacteria|p__Firmicutes|c__CFGB31626	2|1239|	1.01769	0.0704	80454
k__Bacteria|p__Bacteroidetes|c__CFGB629	2|976|	0.87125	0.06027	165855
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.74702	0.05168	77592
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.60782	0.04205	113256
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.41614	0.02879	88558
k__Bacteria|p__Firmicutes|c__CFGB1355	2|1239|	0.38338	0.02652	65356
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.31049	0.02148	55760
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.31046	0.02148	42470
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.307	0.02124	56948
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.28762	0.0199	48934
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.25399	0.01757	64204
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.09616	0.00665	15101
k__Bacteria|p__Firmicutes|c__CFGB2881	2|1239|	0.09109	0.0063	11051
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.08551	0.00592	13550
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.07751	0.00536	12681
k__Bacteria|p__Proteobacteria|c__CFGB3069	2|1224|	0.0733	0.00507	0
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.0637	0.00441	16116
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.05336	0.00369	13388
k__Bacteria|p__Firmicutes|c__CFGB3048	2|1239|	0.04995	0.00346	11960
k__Bacteria|p__Firmicutes|c__CFGB1012	2|1239|	0.04772	0.0033	8430
k__Bacteria|p__Firmicutes|c__CFGB76515	2|1239|	0.04108	0.00284	5465
k__Bacteria|p__Firmicutes|c__CFGB2942	2|1239|	0.03064	0.00212	4812
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.02977	0.00206	4567
k__Bacteria|p__Firmicutes|c__CFGB15209	2|1239|	0.02927	0.00203	4489
k__Bacteria|p__Firmicutes|c__CFGB9828	2|1239|	0.02916	0.00202	5356
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.02665	0.00184	4142
k__Bacteria|p__Bacteroidetes|c__CFGB2107	2|976|	0.02611	0.00181	0
k__Bacteria|p__Firmicutes|c__CFGB1201	2|1239|	0.0253	0.00175	4627
k__Bacteria|p__Bacteroidetes|c__CFGB635	2|976|	0.02254	0.00156	3903
k__Bacteria|p__Firmicutes|c__CFGB2858	2|1239|	0.01867	0.00129	3744
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	0.01525	0.00105	3089
k__Bacteria|p__Actinobacteria|c__CFGB12107	2|201174|	0.01518	0.00105	2138
k__Bacteria|p__Firmicutes|c__CFGB3529	2|1239|	0.01312	0.00091	2562
k__Bacteria|p__Firmicutes|c__CFGB2915	2|1239|	0.01095	0.00076	2451
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.00805	0.00056	1469
k__Bacteria|p__Firmicutes|c__CFGB2947	2|1239|	0.00561	0.00039	816
k__Bacteria|p__Firmicutes|c__CFGB45507	2|1239|	0.00341	0.00024	786
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	0.00276	0.00019	348
k__Bacteria|p__Firmicutes|c__CFGB30287	2|1239|	0.00165	0.00011	286
k__Bacteria|p__Firmicutes|c__CFGB3047	2|1239|	0.00154	0.00011	226
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.00131	9e-05	262
k__Bacteria|p__Tenericutes|c__CFGB4862	2|544448|	0.00034	2e-05	39
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	59.0301	4.0836	11950691
