#mpa_vOct22_CHOCOPhlAnSGB_202212
#/u/home/j/jpjacobs/.conda/envs/humannandmetaphlan/bin/metaphlan KJA-15116530Week-4_S247_L001_R1_001.fastq.gz,KJA-15116530Week-4_S247_L001_R2_001.fastq.gz --bowtie2out KJA-15116530Week-4_S247_L001_R1_001.fastq_metagenome.bowtie2.bz2 --nproc 20 --input_type fastq -o KJA-15116530Week-4_S247_L001_R1_001.fastq_profiled_metagenome.txt --bowtie2db /u/scratch/j/jpjacobs/metaphlan_databases --index mpa_vOct22_CHOCOPhlAnSGB_202212 -t rel_ab_w_read_stats
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:7826364
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	2.79907	7826364
k__Bacteria|p__Firmicutes	2|1239	82.69901	2.31481	6640454
k__Bacteria|p__Actinobacteria	2|201174	10.56211	0.29564	674599
k__Bacteria|p__Bacteroidetes	2|976	4.91683	0.13763	412571
k__Bacteria|p__Bacteria_unclassified	2|	1.73522	0.04857	91545
k__Bacteria|p__Verrucomicrobia	2|74201	0.04983	0.00139	4223
k__Bacteria|p__Synergistetes	2|508458	0.037	0.00104	2972
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	72.94684	2.04183	5872257
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.99299	0.16775	392100
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	4.91683	0.13763	412571
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	4.56912	0.12789	282499
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	3.68826	0.10324	286969
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.57816	0.07216	203753
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763	2||	1.46252	0.04094	74631
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.96264	0.02695	64177
k__Bacteria|p__Firmicutes|c__CFGB3068	2|1239|	0.90293	0.02527	78616
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.80283	0.02247	72471
k__Bacteria|p__Actinobacteria|c__CFGB2992	2|201174|	0.27271	0.00763	0
k__Bacteria|p__Firmicutes|c__CFGB72926	2|1239|	0.17696	0.00495	14504
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.1707	0.00478	13114
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.07131	0.002	5767
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.04983	0.00139	4223
k__Bacteria|p__Firmicutes|c__CFGB9718	2|1239|	0.04655	0.0013	3877
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.03768	0.00105	2319
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.037	0.00104	2972
k__Bacteria|p__Firmicutes|c__CFGB76779	2|1239|	0.0274	0.00077	2542
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	69.89465	1.9564	5651173
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	4.91683	0.13763	412571
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	4.75557	0.13311	285969
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	2|201174|1760|85004	4.26833	0.11947	261540
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	3.68826	0.10324	286969
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	3.05219	0.08543	221084
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	1.97673	0.05533	162394
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763	2|||	1.46252	0.04094	74631
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.23742	0.03464	106131
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.96264	0.02695	64177
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068	2|1239||	0.90293	0.02527	78616
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.80283	0.02247	72471
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.60143	0.01683	41359
k__Bacteria|p__Actinobacteria|c__CFGB2992|o__OFGB2992	2|201174||	0.27271	0.00763	0
k__Bacteria|p__Firmicutes|c__CFGB72926|o__OFGB72926	2|1239||	0.17696	0.00495	14504
k__Bacteria|p__Firmicutes|c__CFGB1311|o__OFGB1311	2|1239||	0.1707	0.00478	13114
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.07131	0.002	5767
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.04983	0.00139	4223
k__Bacteria|p__Firmicutes|c__CFGB9718|o__OFGB9718	2|1239||	0.04655	0.0013	3877
k__Bacteria|p__Firmicutes|c__CFGB76783|o__OFGB76783	2|1239||	0.03768	0.00105	2319
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.037	0.00104	2972
k__Bacteria|p__Firmicutes|c__CFGB76779|o__OFGB76779	2|1239||	0.0274	0.00077	2542
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	45.8764	1.28411	4053529
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	20.07571	0.56193	1275117
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	4.75557	0.13311	285969
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	4.26833	0.11947	261540
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	3.68826	0.10324	286969
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	3.13145	0.08765	189805
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	3.05219	0.08543	221084
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2|1239|909932|909929|1843491	1.97673	0.05533	162394
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763|f__FGB76763	2||||	1.46252	0.04094	74631
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	1.23742	0.03464	106131
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	1.14893	0.03216	102032
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	1.10932	0.03105	84103
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	1.05028	0.0294	154417
k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068	2|1239|||	0.90293	0.02527	78616
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.80725	0.0226	49833
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	2|1239|||	0.80283	0.02247	72471
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	0.60143	0.01683	41359
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	0.4423	0.01238	39839
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.35543	0.00995	24607
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Sanguibacteraceae	2|201174|1760|85006|145360	0.30079	0.00842	20959
